seed,vectorizer,model,params,accuracy,training_time,prediction_time,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
4279876,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'max_depth': 10}",0.615,0.3774043000303209,0.018783099949359894,0.5989473684210527,0.9930191972076788,0.747209455022981,0.92,0.10772833723653395,0.1928721174004193
4279876,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'max_depth': 20}",0.679,0.7675062000053003,0.021913600037805736,0.647887323943662,0.9633507853403142,0.7747368421052632,0.8581081081081081,0.297423887587822,0.44173913043478263
4279876,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'max_depth': 10}",0.618,0.49066480004694313,0.02313960005994886,0.6006322444678609,0.9947643979057592,0.7490144546649146,0.9411764705882353,0.11241217798594848,0.200836820083682
4279876,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'max_depth': 20}",0.68,1.0248898999998346,0.02581979997921735,0.6500593119810202,0.956369982547993,0.7740112994350282,0.8407643312101911,0.3091334894613583,0.4520547945205479
4279876,TfidfVectorizer,RandomForest,"{'n_estimators': 200, 'max_depth': 10}",0.614,0.6049925999250263,0.02646129997447133,0.5981112277019937,0.9947643979057592,0.747051114023591,0.9361702127659575,0.10304449648711944,0.18565400843881857
4279876,TfidfVectorizer,RandomForest,"{'n_estimators': 200, 'max_depth': 20}",0.679,1.3661575999576598,0.03012090001720935,0.648235294117647,0.9616055846422339,0.7744202389318342,0.8533333333333334,0.2997658079625293,0.4436741767764298
4279876,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'linear'}",0.705,4.446762399980798,0.39536349999252707,0.7278688524590164,0.774869109947644,0.7506339814032121,0.6692307692307692,0.6112412177985949,0.6389228886168911
4279876,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'rbf'}",0.732,7.173816499998793,0.6088011000538245,0.7272727272727273,0.8516579406631762,0.7845659163987139,0.7416413373860182,0.5714285714285714,0.6455026455026455
4279876,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'linear'}",0.664,7.966528399963863,0.36163490009494126,0.7309941520467836,0.6544502617801047,0.6906077348066298,0.5934291581108829,0.6768149882903981,0.6323851203501094
4279876,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'rbf'}",0.715,13.613519800012,0.6723522000247613,0.7345276872964169,0.787085514834206,0.7598989048020219,0.6839378238341969,0.6182669789227166,0.6494464944649446
