seed,batch_size,learning_rate,train_acc,train_precisions,train_recalls,train_f1s,max_memory_usage_train,max_vram_usage_train,total_train_time,val_acc,val_precisions,val_recalls,val_f1s,test_acc,test_precisions,test_recalls,test_f1s,max_memory_usage_test,max_vram_usage_test,total_test_time
2,16,2e-05,0.9953703703703703,"[0.9942196531791907, 0.9961832061068703, 0.9964788732394366, 0.9971181556195965, 0.9926739926739927]","[0.9913544668587896, 0.9961832061068703, 1.0, 0.9971181556195965, 0.9926739926739927]","[0.9927849927849928, 0.9961832061068703, 0.9982363315696648, 0.9971181556195965, 0.9926739926739927]",1259.58203125,2528.90673828125,78.42987599999469,0.9736147757255936,"[1.0, 0.9538461538461539, 0.9859154929577465, 1.0, 0.9178082191780822]","[0.9540229885057471, 0.9393939393939394, 0.9859154929577465, 1.0, 0.9852941176470589]","[0.9764705882352941, 0.9465648854961832, 0.9859154929577465, 1.0, 0.950354609929078]",0.9850299401197605,"[1.0, 0.9666666666666667, 0.96875, 1.0, 0.9836065573770492]","[0.9473684210526315, 1.0, 0.9841269841269841, 1.0, 1.0]","[0.972972972972973, 0.9830508474576272, 0.9763779527559056, 1.0, 0.9917355371900827]",1200.45703125,1714.615234375,4.52168000000529
3,16,2e-05,0.9973544973544973,"[0.9971014492753624, 1.0, 0.9894736842105263, 1.0, 1.0]","[0.9913544668587896, 1.0, 0.9964664310954063, 1.0, 1.0]","[0.9942196531791907, 1.0, 0.9929577464788732, 1.0, 1.0]",1281.61328125,2538.40673828125,77.78728119999869,0.9841688654353562,"[0.9772727272727273, 0.9428571428571428, 1.0, 1.0, 1.0]","[0.9885057471264368, 1.0, 0.971830985915493, 1.0, 0.9558823529411765]","[0.9828571428571429, 0.9705882352941176, 0.9857142857142858, 1.0, 0.9774436090225563]",0.9910179640718563,"[1.0, 1.0, 0.9692307692307692, 1.0, 0.9836065573770492]","[0.9605263157894737, 1.0, 1.0, 1.0, 1.0]","[0.9798657718120806, 1.0, 0.984375, 1.0, 0.9917355371900827]",1281.6171875,1719.115234375,4.453094800002873
5,16,2e-05,0.9940476190476191,"[0.9884393063583815, 1.0, 0.9893992932862191, 0.9971181556195965, 0.9963503649635036]","[0.9855907780979827, 1.0, 0.9893992932862191, 0.9971181556195965, 1.0]","[0.987012987012987, 1.0, 0.9893992932862191, 0.9971181556195965, 0.9981718464351006]",1282.03515625,2534.40673828125,83.39808709999488,0.9841688654353562,"[0.9882352941176471, 0.9701492537313433, 0.9726027397260274, 1.0, 0.9850746268656716]","[0.9655172413793104, 0.9848484848484849, 1.0, 1.0, 0.9705882352941176]","[0.9767441860465116, 0.9774436090225563, 0.9861111111111112, 1.0, 0.9777777777777777]",0.9850299401197605,"[1.0, 1.0, 0.9402985074626866, 1.0, 0.9836065573770492]","[0.9342105263157895, 1.0, 1.0, 1.0, 1.0]","[0.9659863945578231, 1.0, 0.9692307692307692, 1.0, 0.9917355371900827]",1201.65234375,1711.990234375,4.712883900007
