seed,batch_size,learning_rate,train_acc,train_precisions,train_recalls,train_f1s,max_memory_usage_train,max_vram_usage_train,total_train_time,val_acc,val_precisions,val_recalls,val_f1s,test_acc,test_precisions,test_recalls,test_f1s,max_memory_usage_test,max_vram_usage_test,total_test_time
2,16,3e-05,0.5201064458900059,"[0.6666666666666666, 0.9277566539923955, 0.8603521554341227, 0.8868404322949778, 0.6325088339222615]","[0.3626943005181347, 0.9065015479876161, 0.8121895299961789, 0.8072916666666666, 0.5624509033778476]","[0.4697986577181208, 0.9170059505167554, 0.8355773955773956, 0.8451984247197819, 0.5954261954261955]",1804.34765625,2528.90673828125,460.91628899998614,0.5221169036334913,"[0.6061776061776062, 0.9345549738219895, 0.8765432098765432, 0.8181818181818182, 0.6629213483146067]","[0.46726190476190477, 0.8858560794044665, 0.7611026033690659, 0.8372093023255814, 0.554858934169279]","[0.5277310924369748, 0.9095541401273886, 0.8147540983606557, 0.8275862068965517, 0.6040955631399317]",0.5039370078740157,"[0.5891472868217055, 0.9373297002724795, 0.8628884826325411, 0.8045454545454546, 0.6382978723404256]","[0.44837758112094395, 0.8493827160493828, 0.7195121951219512, 0.8194444444444444, 0.5678233438485805]","[0.509212730318258, 0.8911917098445595, 0.7847049044056525, 0.8119266055045872, 0.6010016694490818]",1820.30859375,1705.177734375,13.482513299997663
3,16,3e-05,0.5192193968066233,"[0.6781685467816855, 0.9311779769526248, 0.8632341110217217, 0.8807570977917981, 0.6199035510740903]","[0.37823834196891193, 0.9006191950464396, 0.8200229270156668, 0.8078703703703703, 0.5553809897879026]","[0.4856260394392967, 0.9156436890147939, 0.8410738781109152, 0.842740718382131, 0.585871141495753]",1821.3984375,2534.15673828125,448.20149700000184,0.49921011058451814,"[0.6137339055793991, 0.8790697674418605, 0.85667215815486, 0.9055555555555556, 0.702020202020202]","[0.4255952380952381, 0.9379652605459057, 0.7963246554364471, 0.7581395348837209, 0.43573667711598746]","[0.5026362038664324, 0.907563025210084, 0.8253968253968254, 0.8253164556962025, 0.5377176015473888]",0.48503937007874015,"[0.5889830508474576, 0.8860465116279069, 0.8403361344537815, 0.8882978723404256, 0.6699029126213593]","[0.41002949852507375, 0.9407407407407408, 0.7621951219512195, 0.7731481481481481, 0.4353312302839117]","[0.4834782608695652, 0.9125748502994012, 0.7993605115907274, 0.8267326732673267, 0.5277246653919694]",1823.59765625,1704.177734375,14.793677299981937
5,16,3e-05,0.5255273013995664,"[0.6860776439089692, 0.9330357142857143, 0.8609485368314833, 0.8771929824561403, 0.6313932980599647]","[0.37934863064396745, 0.9058823529411765, 0.815055406954528, 0.8101851851851852, 0.5624509033778476]","[0.4885605338417541, 0.919258561105875, 0.8373736382373147, 0.8423586040914561, 0.5949314499376818]",1821.98046875,2529.90673828125,469.6680753999972,0.5102685624012638,"[0.542319749216301, 0.952, 0.8501628664495114, 0.8775510204081632, 0.6625]","[0.5148809523809523, 0.8858560794044665, 0.7993874425727412, 0.8, 0.49843260188087773]","[0.5282442748091603, 0.9177377892030848, 0.823993685872139, 0.8369829683698297, 0.5688729874776386]",0.4968503937007874,"[0.5349544072948328, 0.9549295774647887, 0.8552188552188552, 0.8871794871794871, 0.6588235294117647]","[0.5191740412979351, 0.837037037037037, 0.774390243902439, 0.8009259259259259, 0.5299684542586751]","[0.5269461077844312, 0.8921052631578947, 0.8128, 0.8418491484184915, 0.5874125874125874]",1823.86328125,1704.802734375,16.083175300009316
