seed,batch_size,learning_rate,train_acc,train_precisions,train_recalls,train_f1s,max_memory_usage_train,max_vram_usage_train,total_train_time,val_acc,val_precisions,val_recalls,val_f1s,test_acc,test_precisions,test_recalls,test_f1s,max_memory_usage_test,max_vram_usage_test,total_test_time
2,16,2e-05,0.7031897402170338,"[0.6390159280870525, 0.6821581196581197, 0.7555026769779893]","[0.571267446778514, 0.7412567116528805, 0.711524455151549]","[0.6032454965014143, 0.7104805619305933, 0.7328543812573934]",1293.01953125,2528.88330078125,1931.9589245000388,0.7305,"[0.5745192307692307, 0.7771173848439822, 0.7672886937431395]","[0.7660256410256411, 0.6018411967779056, 0.8534798534798534]","[0.6565934065934066, 0.6783398184176395, 0.8080924855491329]",0.6820253988928687,"[0.6501597444089456, 0.7595454545454545, 0.6189151599443672]","[0.8197381671701913, 0.562910560889338, 0.7494736842105263]","[0.7251670378619154, 0.6466092676792106, 0.6779661016949152]",1162.6953125,1712.654296875,127.2264576999005
3,16,2e-05,0.7051189301764771,"[0.6423369221025966, 0.6813211041538054, 0.7614463630347151]","[0.5719723671225152, 0.7473999903255454, 0.7090593310549611]","[0.6051159668879111, 0.712832460612212, 0.7343196982883667]",1239.44140625,2536.75830078125,1895.8801692000125,0.7415,"[0.6704545454545454, 0.7077922077922078, 0.8029556650246306]","[0.5673076923076923, 0.7525891829689298, 0.796092796092796]","[0.6145833333333334, 0.7295036252091467, 0.7995095033721643]",0.6930967111690003,"[0.7588466579292268, 0.6742685671417854, 0.6638098948188547]","[0.5830815709969789, 0.7569479535118747, 0.7174736842105263]","[0.6594533029612756, 0.7132201237898746, 0.6895993524888709]",1163.5546875,1709.904296875,127.2970081998501
5,16,2e-05,0.7028170557930505,"[0.6311526479750779, 0.6811000845534244, 0.759507294905525]","[0.571267446778514, 0.7403376384656315, 0.7116365062468486]","[0.5997187893139939, 0.709484516966438, 0.7347930465970555]",1240.28125,2530.13330078125,1895.9355679999571,0.734,"[0.6187845303867403, 0.7513227513227513, 0.7664399092970522]","[0.717948717948718, 0.6536248561565017, 0.8253968253968254]","[0.6646884272997032, 0.699076923076923, 0.7948265726043504]",0.6996092478020189,"[0.6924134769653908, 0.7400309717382888, 0.6352087114337568]","[0.7605740181268882, 0.6439279097187132, 0.7368421052631579]","[0.7248950209958008, 0.6886427091776998, 0.682261208576998]",1163.7421875,1709.154296875,126.90555229992606
