seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'gini'}",0.6175,76.19586860004347,1.133649300027173,562.30078125,556.421875,0.5529411764705883,0.15064102564102563,0.2367758186397985,0.5658419792498005,0.8158803222094362,0.6682375117813384,0.7235649546827795,0.5848595848595849,0.6468602295746118
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'entropy'}",0.6245,75.1951239000191,1.0976236999849789,567.50390625,563.453125,0.6470588235294118,0.1762820512820513,0.2770780856423174,0.5675459632294164,0.8170310701956272,0.6698113207547169,0.7289156626506024,0.590964590964591,0.6527309507754552
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'log_loss'}",0.6245,75.31954990001395,1.0989768000436015,573.76171875,559.41015625,0.6470588235294118,0.1762820512820513,0.2770780856423174,0.5675459632294164,0.8170310701956272,0.6698113207547169,0.7289156626506024,0.590964590964591,0.6527309507754552
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'gini'}",0.6255,143.82616779999807,1.3263453000108711,731.71484375,732.0625,0.5978260869565217,0.1762820512820513,0.2722772277227723,0.5735294117647058,0.807825086306099,0.6708074534161491,0.7222222222222222,0.6031746031746031,0.6573519627411843
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy'}",0.624,150.82840370002668,1.2647580999764614,743.0625,743.00390625,0.6547619047619048,0.1762820512820513,0.2777777777777778,0.5678913738019169,0.8181818181818182,0.6704384724186704,0.7259036144578314,0.5885225885225885,0.6500337154416723
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'log_loss'}",0.624,149.85843020002358,1.2618478999938816,757.81640625,745.26171875,0.6547619047619048,0.1762820512820513,0.2777777777777778,0.5678913738019169,0.8181818181818182,0.6704384724186704,0.7259036144578314,0.5885225885225885,0.6500337154416723
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'gini'}",0.633,213.649984699965,2.5299087000312284,888.0234375,888.0234375,0.5978260869565217,0.1762820512820513,0.2722772277227723,0.5782145782145782,0.812428078250863,0.6755980861244019,0.735080058224163,0.6166056166056166,0.6706507304116865
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'entropy'}",0.621,225.04407409997657,0.7115446000243537,917.59375,917.9296875,0.625,0.1762820512820513,0.275,0.5628458498023715,0.8193325661680092,0.6672914714151827,0.7341576506955177,0.57997557997558,0.6480218281036835
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'log_loss'}",0.621,224.84144300001208,0.7090678999666125,934.6640625,917.83984375,0.625,0.1762820512820513,0.275,0.5628458498023715,0.8193325661680092,0.6672914714151827,0.7341576506955177,0.57997557997558,0.6480218281036835
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'linear'}",0.5835,185.47272650001105,5.257228500035126,1174.4921875,959.48046875,0.7142857142857143,0.03205128205128205,0.06134969325153374,0.5198973042362003,0.9321058688147296,0.6674907292954264,0.8107476635514018,0.4236874236874237,0.5565356856455493
