seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,precision_class_3,recall_class_3,f1_class_3,precision_class_4,recall_class_4,f1_class_4
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'gini'}",0.9313984168865436,1.106778800007305,1.0681335999979638,384.79296875,384.8515625,0.87,1.0,0.93048128342246,0.921875,0.8939393939393939,0.9076923076923077,0.9558823529411765,0.9154929577464789,0.935251798561151,0.9456521739130435,1.0,0.9720670391061452,1.0,0.8088235294117647,0.8943089430894309
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'entropy'}",0.920844327176781,1.1908806999999797,1.0680489999940619,387.8828125,385.8125,0.9139784946236559,0.9770114942528736,0.9444444444444444,0.921875,0.8939393939393939,0.9076923076923077,0.9846153846153847,0.9014084507042254,0.9411764705882353,0.87,1.0,0.93048128342246,0.9473684210526315,0.7941176470588235,0.864
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'log_loss'}",0.920844327176781,1.1871726999961538,1.0640425000019604,388.69921875,385.8515625,0.9139784946236559,0.9770114942528736,0.9444444444444444,0.921875,0.8939393939393939,0.9076923076923077,0.9846153846153847,0.9014084507042254,0.9411764705882353,0.87,1.0,0.93048128342246,0.9473684210526315,0.7941176470588235,0.864
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'gini'}",0.941952506596306,1.563360999993165,1.0795954999921378,388.14453125,388.84765625,0.9052631578947369,0.9885057471264368,0.945054945054945,0.9253731343283582,0.9393939393939394,0.9323308270676691,0.9696969696969697,0.9014084507042254,0.9343065693430657,0.9354838709677419,1.0,0.9666666666666667,1.0,0.8529411764705882,0.9206349206349206
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy'}",0.9340369393139841,1.7513202999980422,1.0723792999924626,390.55859375,388.83984375,0.9340659340659341,0.9770114942528736,0.9550561797752809,0.9230769230769231,0.9090909090909091,0.916030534351145,0.9558823529411765,0.9154929577464789,0.935251798561151,0.8969072164948454,1.0,0.9456521739130435,0.9827586206896551,0.8382352941176471,0.9047619047619048
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'log_loss'}",0.9340369393139841,1.7286679999961052,1.0701224000076763,391.1484375,385.65625,0.9340659340659341,0.9770114942528736,0.9550561797752809,0.9230769230769231,0.9090909090909091,0.916030534351145,0.9558823529411765,0.9154929577464789,0.935251798561151,0.8969072164948454,1.0,0.9456521739130435,0.9827586206896551,0.8382352941176471,0.9047619047619048
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'gini'}",0.9393139841688655,2.016935999999987,1.0797829999937676,392.0078125,391.58984375,0.9157894736842105,1.0,0.9560439560439561,0.9672131147540983,0.8939393939393939,0.9291338582677166,0.9701492537313433,0.9154929577464789,0.9420289855072463,0.90625,1.0,0.9508196721311475,0.9666666666666667,0.8529411764705882,0.90625
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'entropy'}",0.9393139841688655,2.2829823000065517,1.0864702999970177,393.14453125,392.94921875,0.9444444444444444,0.9770114942528736,0.96045197740113,0.9375,0.9090909090909091,0.9230769230769231,0.9558823529411765,0.9154929577464789,0.935251798561151,0.8969072164948454,1.0,0.9456521739130435,0.9833333333333333,0.8676470588235294,0.921875
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'log_loss'}",0.9393139841688655,2.2856455000001006,1.0893149000039557,394.35546875,392.61328125,0.9444444444444444,0.9770114942528736,0.96045197740113,0.9375,0.9090909090909091,0.9230769230769231,0.9558823529411765,0.9154929577464789,0.935251798561151,0.8969072164948454,1.0,0.9456521739130435,0.9833333333333333,0.8676470588235294,0.921875
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'linear'}",0.8496042216358839,3.22674850000476,0.9164760999992723,395.0859375,394.12890625,0.7016129032258065,1.0,0.8246445497630331,0.9791666666666666,0.7121212121212122,0.8245614035087719,1.0,0.704225352112676,0.8264462809917356,0.8207547169811321,1.0,0.9015544041450777,1.0,0.75,0.8571428571428571
