seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'gini'}",0.6866791744840526,4.771121999947354,1.054511700058356,394.23828125,392.125,0.6602254428341385,0.7692307692307693,0.7105719237435009,0.7235955056179775,0.6041275797373359,0.6584867075664622
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'entropy'}",0.6941838649155723,4.52326270006597,1.0241062000859529,392.19921875,389.671875,0.6640253565768621,0.7861163227016885,0.7199312714776632,0.7379310344827587,0.6022514071294559,0.6632231404958677
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'log_loss'}",0.6941838649155723,4.544824100099504,1.0464500000234693,391.890625,389.58984375,0.6640253565768621,0.7861163227016885,0.7199312714776632,0.7379310344827587,0.6022514071294559,0.6632231404958677
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'gini'}",0.6941838649155723,8.957142600091174,1.0827709999866784,422.0703125,420.0078125,0.666131621187801,0.7786116322701688,0.7179930795847751,0.7336343115124153,0.6097560975609756,0.6659836065573771
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy'}",0.700750469043152,8.625828499905765,1.1064102000091225,420.015625,417.37109375,0.6682389937106918,0.797373358348968,0.7271171941830624,0.7488372093023256,0.6041275797373359,0.6687435098650052
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'log_loss'}",0.700750469043152,8.932482600212097,1.1306016000453383,417.65234375,415.47265625,0.6682389937106918,0.797373358348968,0.7271171941830624,0.7488372093023256,0.6041275797373359,0.6687435098650052
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'gini'}",0.6923076923076923,13.795108299935237,1.1645066000055522,450.1171875,447.8203125,0.6634768740031898,0.7804878048780488,0.7172413793103448,0.7334851936218679,0.6041275797373359,0.6625514403292181
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'entropy'}",0.7054409005628518,12.621951799839735,1.1942951001692563,447.82421875,443.24609375,0.6740858505564388,0.7954971857410882,0.729776247848537,0.7505720823798627,0.6153846153846154,0.6762886597938145
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'log_loss'}",0.7054409005628518,12.648649400100112,1.1528466001618654,443.05078125,440.66015625,0.6740858505564388,0.7954971857410882,0.729776247848537,0.7505720823798627,0.6153846153846154,0.6762886597938145
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'linear'}",0.726078799249531,5.087713800137863,0.9264010000042617,651.0,453.70703125,0.7186932849364791,0.7429643527204502,0.7306273062730627,0.7339805825242719,0.7091932457786116,0.7213740458015268
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'rbf'}",0.5459662288930581,5.10294510005042,1.0799606998916715,652.2734375,453.84765625,0.8656716417910447,0.10881801125703565,0.19333333333333333,0.5245245245245245,0.9831144465290806,0.6840731070496083
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'sigmoid'}",0.7223264540337712,5.340124400099739,0.9577097999863327,652.328125,452.9921875,0.716636197440585,0.7354596622889306,0.725925925925926,0.7283236994219653,0.7091932457786116,0.7186311787072244
2,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'linear'}",0.7514071294559099,4.439771400066093,0.8305887000169605,693.26953125,452.80859375,0.7463235294117647,0.7617260787992496,0.7539461467038069,0.7567049808429118,0.7410881801125704,0.7488151658767772
2,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'rbf'}",0.7645403377110694,6.396759800147265,1.0336417998187244,688.890625,453.63671875,0.7535971223021583,0.7861163227016885,0.7695133149678605,0.7764705882352941,0.7429643527204502,0.7593480345158198
2,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'sigmoid'}",0.7476547842401501,4.41761550004594,0.8348859001416713,673.43359375,453.30078125,0.74,0.7636022514071295,0.7516158818097877,0.7558139534883721,0.7317073170731707,0.7435653002859867
2,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'linear'}",0.724202626641651,6.756010599900037,0.7699529998935759,660.84765625,453.42578125,0.7233644859813084,0.726078799249531,0.7247191011235955,0.7250470809792844,0.7223264540337712,0.7236842105263158
2,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'rbf'}",0.7645403377110694,10.94134150003083,1.0300346000585705,659.62890625,455.40625,0.7572992700729927,0.7786116322701688,0.7678075855689177,0.7722007722007722,0.7504690431519699,0.7611798287345385
2,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'sigmoid'}",0.7082551594746717,9.411562499823049,0.7130226998124272,645.47265625,453.296875,0.7086466165413534,0.7073170731707317,0.707981220657277,0.7078651685393258,0.7091932457786116,0.7085285848172446
2,TfidfVectorizer,MultinomialNB,{'alpha': 0.01},0.700750469043152,1.0575453001074493,1.8129730999935418,449.00390625,444.40234375,0.7346491228070176,0.6285178236397748,0.6774519716885743,0.6754098360655738,0.7729831144465291,0.7209098862642169
2,TfidfVectorizer,MultinomialNB,{'alpha': 0.1},0.7345215759849906,1.0557531001977623,1.811224700184539,449.421875,444.16015625,0.7648305084745762,0.6772983114446529,0.718407960199005,0.7104377104377104,0.7917448405253283,0.748890860692103
2,TfidfVectorizer,MultinomialNB,{'alpha': 1.0},0.7664165103189493,1.0620153001509607,1.9209995998535305,448.7265625,443.96875,0.7784313725490196,0.7448405253283302,0.7612655800575263,0.7553956834532374,0.7879924953095685,0.7713498622589532
2,TfidfVectorizer,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.725140712945591,1.1520287999883294,1.8402523999102414,453.796875,443.98046875,0.7142857142857143,0.7504690431519699,0.7319304666056725,0.7371541501976284,0.699812382739212,0.7179980750721848
2,TfidfVectorizer,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.7673545966228893,1.0957268001511693,1.8085729000158608,453.85546875,444.0703125,0.7576853526220615,0.7861163227016885,0.7716390423572744,0.7777777777777778,0.7485928705440901,0.762906309751434
2,TfidfVectorizer,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.7523452157598499,1.2655106999445707,1.8106434000656009,453.84765625,444.03515625,0.7449908925318761,0.7673545966228893,0.756007393715342,0.7601547388781431,0.7373358348968105,0.7485714285714286
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'ball_tree'}",0.6632270168855535,1.0688493999186903,1.157546500209719,450.14453125,583.56640625,0.6666666666666666,0.6529080675422139,0.6597156398104266,0.6599264705882353,0.6735459662288931,0.6666666666666666
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'kd_tree'}",0.6632270168855535,1.0858701998367906,1.1737540001049638,451.0078125,578.80078125,0.6666666666666666,0.6529080675422139,0.6597156398104266,0.6599264705882353,0.6735459662288931,0.6666666666666666
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'brute'}",0.6632270168855535,1.0667576999403536,1.1642247999552637,450.78515625,586.63671875,0.6666666666666666,0.6529080675422139,0.6597156398104266,0.6599264705882353,0.6735459662288931,0.6666666666666666
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'ball_tree'}",0.6838649155722326,1.063120299950242,1.163690600078553,450.796875,562.671875,0.689922480620155,0.6679174484052532,0.678741658722593,0.6781818181818182,0.699812382739212,0.6888273314866112
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'kd_tree'}",0.6838649155722326,1.0636119998525828,1.1683300998993218,450.72265625,572.609375,0.689922480620155,0.6679174484052532,0.678741658722593,0.6781818181818182,0.699812382739212,0.6888273314866112
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'brute'}",0.6838649155722326,1.0672269000206143,1.162905199918896,450.66796875,583.3515625,0.689922480620155,0.6679174484052532,0.678741658722593,0.6781818181818182,0.699812382739212,0.6888273314866112
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'ball_tree'}",0.6932457786116323,1.059613399906084,1.1592279998585582,450.7734375,566.546875,0.7003891050583657,0.6754221388367729,0.6876790830945558,0.6865942028985508,0.7110694183864915,0.6986175115207374
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'kd_tree'}",0.6932457786116323,1.0620363000780344,1.1623521000146866,450.921875,588.83984375,0.7003891050583657,0.6754221388367729,0.6876790830945558,0.6865942028985508,0.7110694183864915,0.6986175115207374
