seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'gini'}",0.726,4.751773700118065,1.515541800064966,389.125,386.3828125,0.7254901960784313,0.8394415357766143,0.7783171521035599,0.7270029673590505,0.5737704918032787,0.6413612565445026
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'entropy'}",0.725,4.735534900100902,1.0298004001379013,388.80859375,386.4140625,0.7217261904761905,0.8464223385689355,0.7791164658634538,0.7317073170731707,0.5620608899297423,0.6357615894039735
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'log_loss'}",0.725,4.79990560002625,1.0847748999949545,388.80078125,388.8359375,0.7217261904761905,0.8464223385689355,0.7791164658634538,0.7317073170731707,0.5620608899297423,0.6357615894039735
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'gini'}",0.733,9.14531320007518,1.0214532997924834,415.09375,415.09375,0.7276785714285714,0.8534031413612565,0.7855421686746988,0.7439024390243902,0.5714285714285714,0.6463576158940397
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy'}",0.727,8.81119570019655,1.0460667998995632,414.36328125,411.6015625,0.7245508982035929,0.8446771378708552,0.7800161160354553,0.7319277108433735,0.5690866510538641,0.6403162055335968
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'log_loss'}",0.727,8.823830000124872,1.0385497999377549,414.0703125,414.25,0.7245508982035929,0.8446771378708552,0.7800161160354553,0.7319277108433735,0.5690866510538641,0.6403162055335968
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'gini'}",0.738,13.807926699984819,1.2274031001143157,440.140625,440.21484375,0.7303703703703703,0.8603839441535777,0.7900641025641025,0.7538461538461538,0.5737704918032787,0.651595744680851
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'entropy'}",0.726,13.035940799862146,1.0939655001275241,439.56640625,437.12890625,0.7228017883755589,0.8464223385689355,0.7797427652733119,0.7325227963525835,0.5644028103044496,0.6375661375661376
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'log_loss'}",0.726,13.059514400083572,1.091156000038609,439.859375,440.0625,0.7228017883755589,0.8464223385689355,0.7797427652733119,0.7325227963525835,0.5644028103044496,0.6375661375661376
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'linear'}",0.687,5.4490652999375015,0.9477267998736352,652.53125,450.05859375,0.6620947630922693,0.9267015706806283,0.7723636363636364,0.7878787878787878,0.36533957845433257,0.4992
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'rbf'}",0.605,6.0453317000065,1.1130255998577923,652.9921875,450.71875,0.5938818565400844,0.9825479930191972,0.740302432610125,0.8076923076923077,0.09836065573770492,0.17536534446764093
