seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,precision_class_3,recall_class_3,f1_class_3,precision_class_4,recall_class_4,f1_class_4,precision_class_5,recall_class_5,f1_class_5
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'gini'}",0.89,8.392934100000275,1.0655908999997337,423.02734375,415.86328125,0.908273381294964,0.9181818181818182,0.9132007233273056,0.8937329700272479,0.9318181818181818,0.9123783031988874,0.8580246913580247,0.7808988764044944,0.8176470588235294,0.8969465648854962,0.8545454545454545,0.8752327746741154,0.8394495412844036,0.8632075471698113,0.8511627906976744,0.9117647058823529,0.7654320987654321,0.8322147651006712
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'entropy'}",0.884,9.704741199999717,1.0338348000000224,425.37109375,425.49609375,0.9116022099447514,0.9,0.9057639524245197,0.8911845730027548,0.9190340909090909,0.9048951048951049,0.8265895953757225,0.8033707865168539,0.8148148148148148,0.8947368421052632,0.8654545454545455,0.8798521256931608,0.8235294117647058,0.8584905660377359,0.8406466512702079,0.8873239436619719,0.7777777777777778,0.8289473684210527
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'log_loss'}",0.884,9.689865800000007,1.0339995999997882,425.5078125,425.6484375,0.9116022099447514,0.9,0.9057639524245197,0.8911845730027548,0.9190340909090909,0.9048951048951049,0.8265895953757225,0.8033707865168539,0.8148148148148148,0.8947368421052632,0.8654545454545455,0.8798521256931608,0.8235294117647058,0.8584905660377359,0.8406466512702079,0.8873239436619719,0.7777777777777778,0.8289473684210527
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'gini'}",0.89,15.988385800000287,1.1388790000000881,475.71875,469.41015625,0.9097472924187726,0.9163636363636364,0.9130434782608695,0.896032831737346,0.9303977272727273,0.9128919860627178,0.8424242424242424,0.7808988764044944,0.8104956268221575,0.9045801526717557,0.8618181818181818,0.88268156424581,0.8363636363636363,0.8679245283018868,0.8518518518518519,0.8970588235294118,0.7530864197530864,0.8187919463087249
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy'}",0.886,18.7348221000002,1.136784499999976,483.5703125,476.86328125,0.9188191881918819,0.9054545454545454,0.9120879120879121,0.8917808219178082,0.9247159090909091,0.9079497907949791,0.834319526627219,0.7921348314606742,0.8126801152737753,0.8909774436090225,0.8618181818181818,0.8761552680221811,0.8141592920353983,0.8679245283018868,0.8401826484018264,0.9104477611940298,0.7530864197530864,0.8243243243243243
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'log_loss'}",0.886,18.756881899999826,1.1273316000001614,484.26953125,477.2734375,0.9188191881918819,0.9054545454545454,0.9120879120879121,0.8917808219178082,0.9247159090909091,0.9079497907949791,0.834319526627219,0.7921348314606742,0.8126801152737753,0.8909774436090225,0.8618181818181818,0.8761552680221811,0.8141592920353983,0.8679245283018868,0.8401826484018264,0.9104477611940298,0.7530864197530864,0.8243243243243243
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'gini'}",0.8955,23.71421220000002,1.235481499999878,529.33203125,522.4375,0.9138240574506283,0.9254545454545454,0.919602529358627,0.9059474412171508,0.9303977272727273,0.918009810791871,0.8392857142857143,0.7921348314606742,0.815028901734104,0.9015151515151515,0.8654545454545455,0.8831168831168831,0.8440366972477065,0.8679245283018868,0.8558139534883721,0.9142857142857143,0.7901234567901234,0.847682119205298
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'entropy'}",0.8895,28.188649499999883,1.23594920000005,539.328125,538.7265625,0.9226519337016574,0.9109090909090909,0.9167429094236048,0.8934426229508197,0.9289772727272727,0.9108635097493036,0.8323353293413174,0.7808988764044944,0.8057971014492754,0.9018867924528302,0.8690909090909091,0.8851851851851852,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.8985507246376812,0.7654320987654321,0.8266666666666667
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'log_loss'}",0.8895,27.830251499999576,1.2273751000002449,540.37109375,533.5859375,0.9226519337016574,0.9109090909090909,0.9167429094236048,0.8934426229508197,0.9289772727272727,0.9108635097493036,0.8323353293413174,0.7808988764044944,0.8057971014492754,0.9018867924528302,0.8690909090909091,0.8851851851851852,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.8985507246376812,0.7654320987654321,0.8266666666666667
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'linear'}",0.6795,20.142752100000052,1.8089412999997876,749.26953125,557.4609375,0.8387096774193549,0.850909090909091,0.8447653429602888,0.5634599838318513,0.9900568181818182,0.7181865018031942,0.9629629629629629,0.14606741573033707,0.25365853658536586,0.9550561797752809,0.3090909090909091,0.46703296703296704,0.9166666666666666,0.3113207547169811,0.4647887323943662,1.0,0.20987654320987653,0.3469387755102041
