seed,vectorizer,model,params,accuracy,hamming_loss,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_bug,recall_class_bug,f1_class_bug,precision_class_docs,recall_class_docs,f1_class_docs,precision_class_feature,recall_class_feature,f1_class_feature,precision_class_question,recall_class_question,f1_class_question,precision_class_won't fix,recall_class_won't fix,f1_class_won't fix
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'gini'}",0.48128342245989303,0.17005347593582887,1.1889809000422247,1.8690188999753445,368.49609375,368.25390625,0.5714285714285714,0.12903225806451613,0.21052631578947367,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.70625,0.9338842975206612,0.8042704626334519,0.3333333333333333,0.04878048780487805,0.0851063829787234
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'entropy'}",0.4385026737967914,0.18181818181818182,1.1792537000146694,1.8717912000138313,368.74609375,368.58203125,0.4444444444444444,0.12903225806451613,0.2,1.0,0.18518518518518517,0.3125,0.0,0.0,0.0,0.6918238993710691,0.9090909090909091,0.7857142857142857,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'log_loss'}",0.4385026737967914,0.18181818181818182,1.1993244999903254,1.8806258999975398,369.0390625,368.50390625,0.4444444444444444,0.12903225806451613,0.2,1.0,0.18518518518518517,0.3125,0.0,0.0,0.0,0.6918238993710691,0.9090909090909091,0.7857142857142857,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'gini'}",0.48128342245989303,0.1711229946524064,1.3624384999857284,1.8645328000420704,371.23046875,371.15234375,0.5,0.12903225806451613,0.20512820512820512,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.710691823899371,0.9338842975206612,0.8071428571428572,0.16666666666666666,0.024390243902439025,0.0425531914893617
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy'}",0.45454545454545453,0.1754010695187166,0.7138503000023775,1.8525088999886066,371.7734375,371.6171875,0.5,0.12903225806451613,0.20512820512820512,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.7070063694267515,0.9173553719008265,0.7985611510791367,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'log_loss'}",0.45454545454545453,0.1754010695187166,0.7088692000252195,1.85500390001107,372.2734375,371.54296875,0.5,0.12903225806451613,0.20512820512820512,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.7070063694267515,0.9173553719008265,0.7985611510791367,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'gini'}",0.48663101604278075,0.16898395721925133,0.7791985999792814,1.8855483999941498,373.85546875,373.7734375,0.5714285714285714,0.12903225806451613,0.21052631578947367,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.710691823899371,0.9338842975206612,0.8071428571428572,0.2,0.024390243902439025,0.043478260869565216
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'entropy'}",0.44919786096256686,0.17326203208556148,0.8343707000021823,1.9025128000066616,374.28125,374.2890625,0.5,0.12903225806451613,0.20512820512820512,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.7088607594936709,0.9256198347107438,0.8028673835125448,0.14285714285714285,0.024390243902439025,0.041666666666666664
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'log_loss'}",0.44919786096256686,0.17326203208556148,0.8231276000151411,1.8335587999899872,374.80078125,374.24609375,0.5,0.12903225806451613,0.20512820512820512,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.7088607594936709,0.9256198347107438,0.8028673835125448,0.14285714285714285,0.024390243902439025,0.041666666666666664
2,TfidfVectorizer,SVC,"{'estimator__C': 0.1, 'estimator__kernel': 'linear'}",0.46524064171123,0.18716577540106952,1.4440766999614425,1.8375479999813251,375.5,374.89453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,1.0,0.7857142857142857,0.0,0.0,0.0
2,TfidfVectorizer,SVC,"{'estimator__C': 0.1, 'estimator__kernel': 'rbf'}",0.46524064171123,0.18716577540106952,0.9910437000216916,1.8601631000055932,376.07421875,375.3515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,1.0,0.7857142857142857,0.0,0.0,0.0
2,TfidfVectorizer,SVC,"{'estimator__C': 0.1, 'estimator__kernel': 'sigmoid'}",0.46524064171123,0.18716577540106952,1.9278400000184774,1.8220166999963112,375.578125,375.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,1.0,0.7857142857142857,0.0,0.0,0.0
2,TfidfVectorizer,SVC,"{'estimator__C': 1, 'estimator__kernel': 'linear'}",0.44919786096256686,0.17005347593582887,1.4392894999473356,1.8065201999852434,376.1484375,375.3125,0.5,0.1935483870967742,0.27906976744186046,0.7142857142857143,0.18518518518518517,0.29411764705882354,0.0,0.0,0.0,0.7333333333333333,0.9090909090909091,0.8118081180811808,0.3333333333333333,0.04878048780487805,0.0851063829787234
2,TfidfVectorizer,SVC,"{'estimator__C': 1, 'estimator__kernel': 'rbf'}",0.45454545454545453,0.17326203208556148,1.0153382000280544,1.8460966999991797,376.15625,375.50390625,0.0,0.0,0.0,1.0,0.037037037037037035,0.07142857142857142,0.0,0.0,0.0,0.6982248520710059,0.9752066115702479,0.8137931034482758,0.0,0.0,0.0
2,TfidfVectorizer,SVC,"{'estimator__C': 1, 'estimator__kernel': 'sigmoid'}",0.44385026737967914,0.17005347593582887,1.9105252000153996,1.8188115000375547,375.60546875,375.04296875,0.5555555555555556,0.16129032258064516,0.25,0.7142857142857143,0.18518518518518517,0.29411764705882354,0.0,0.0,0.0,0.7254901960784313,0.9173553719008265,0.8102189781021898,0.25,0.024390243902439025,0.044444444444444446
