seed,batch_size,learning_rate,train_acc,train_precisions,train_recalls,train_f1s,max_memory_usage_train,max_vram_usage_train,total_train_time,val_acc,val_precisions,val_recalls,val_f1s,test_acc,test_precisions,test_recalls,test_f1s,max_memory_usage_test,max_vram_usage_test,total_test_time
2,16,5e-05,0.9847883597883598,"[0.9742120343839542, 0.9923664122137404, 0.9752650176678446, 0.9913544668587896, 0.992619926199262]","[0.9798270893371758, 0.9923664122137404, 0.9752650176678446, 0.9913544668587896, 0.9853479853479854]","[0.9770114942528736, 0.9923664122137404, 0.9752650176678446, 0.9913544668587896, 0.9889705882352942]",1338.546875,2528.90673828125,41.69564620999881,0.9815303430079155,"[0.9883720930232558, 0.9552238805970149, 1.0, 1.0, 0.9558823529411765]","[0.9770114942528736, 0.9696969696969697, 1.0, 1.0, 0.9558823529411765]","[0.9826589595375722, 0.9624060150375939, 1.0, 1.0, 0.9558823529411765]",0.9850299401197605,"[0.9863013698630136, 1.0, 0.9538461538461539, 1.0, 0.9836065573770492]","[0.9473684210526315, 1.0, 0.9841269841269841, 1.0, 1.0]","[0.9664429530201343, 1.0, 0.96875, 1.0, 0.9917355371900827]",1266.1484375,1714.865234375,2.4764767519955058
3,16,5e-05,0.9021164021164021,"[0.8229166666666666, 0.9783549783549783, 0.8947368421052632, 0.9431818181818182, 0.9038461538461539]","[0.9106628242074928, 0.8625954198473282, 0.901060070671378, 0.9567723342939481, 0.8608058608058609]","[0.8645690834473324, 0.9168356997971603, 0.897887323943662, 0.949928469241774, 0.8818011257035647]",1329.72265625,2541.90673828125,40.81672572000389,0.9815303430079155,"[0.9885057471264368, 0.96875, 1.0, 1.0, 0.9428571428571428]","[0.9885057471264368, 0.9393939393939394, 1.0, 1.0, 0.9705882352941176]","[0.9885057471264368, 0.9538461538461539, 1.0, 1.0, 0.9565217391304348]",0.9730538922155688,"[0.958904109589041, 1.0, 0.9393939393939394, 0.9871794871794872, 0.9830508474576272]","[0.9210526315789473, 1.0, 0.9841269841269841, 1.0, 0.9666666666666667]","[0.9395973154362416, 1.0, 0.9612403100775194, 0.9935483870967742, 0.9747899159663865]",1275.94140625,1721.865234375,2.3145646039993153
5,16,5e-05,0.9986772486772487,"[0.9971181556195965, 1.0, 1.0, 1.0, 0.9963369963369964]","[0.9971181556195965, 1.0, 1.0, 1.0, 0.9963369963369964]","[0.9971181556195965, 1.0, 1.0, 1.0, 0.9963369963369964]",1372.515625,2536.40673828125,41.92714984600025,0.9736147757255936,"[0.9767441860465116, 0.9838709677419355, 0.9859154929577465, 1.0, 0.918918918918919]","[0.9655172413793104, 0.9242424242424242, 0.9859154929577465, 0.9885057471264368, 1.0]","[0.9710982658959537, 0.953125, 0.9859154929577465, 0.9942196531791907, 0.9577464788732394]",0.9820359281437125,"[1.0, 0.9830508474576272, 0.9545454545454546, 1.0, 0.967741935483871]","[0.9210526315789473, 1.0, 1.0, 1.0, 1.0]","[0.958904109589041, 0.9914529914529915, 0.9767441860465116, 1.0, 0.9836065573770492]",1280.7890625,1721.990234375,2.405754312996578
2,16,3e-05,0.9914021164021164,"[0.9855491329479769, 0.9961977186311787, 0.9753521126760564, 1.0, 1.0]","[0.9827089337175793, 1.0, 0.9787985865724381, 0.9971181556195965, 1.0]","[0.9841269841269841, 0.9980952380952381, 0.9770723104056437, 0.9985569985569985, 1.0]",1379.26953125,2542.28173828125,42.40011334400333,0.978891820580475,"[0.9560439560439561, 0.9552238805970149, 1.0, 1.0, 0.9848484848484849]","[1.0, 0.9696969696969697, 0.971830985915493, 0.9885057471264368, 0.9558823529411765]","[0.9775280898876404, 0.9624060150375939, 0.9857142857142858, 0.9942196531791907, 0.9701492537313433]",0.9850299401197605,"[0.9733333333333334, 1.0, 0.9692307692307692, 1.0, 0.9836065573770492]","[0.9605263157894737, 0.9827586206896551, 1.0, 0.987012987012987, 1.0]","[0.9668874172185431, 0.991304347826087, 0.984375, 0.9934640522875817, 0.9917355371900827]",1289.69921875,1725.115234375,2.38880320500175
3,16,3e-05,0.9933862433862434,"[0.9912790697674418, 0.9961685823754789, 0.9894736842105263, 1.0, 0.9890909090909091]","[0.9827089337175793, 0.9923664122137404, 0.9964664310954063, 1.0, 0.9963369963369964]","[0.9869753979739508, 0.994263862332696, 0.9929577464788732, 1.0, 0.9927007299270073]",1372.046875,2536.03173828125,41.78821621899988,0.9894459102902374,"[1.0, 0.9848484848484849, 0.9861111111111112, 1.0, 0.9714285714285714]","[0.9655172413793104, 0.9848484848484849, 1.0, 1.0, 1.0]","[0.9824561403508771, 0.9848484848484849, 0.993006993006993, 1.0, 0.9855072463768116]",0.9880239520958084,"[1.0, 1.0, 0.9692307692307692, 1.0, 0.967741935483871]","[0.9473684210526315, 1.0, 1.0, 1.0, 1.0]","[0.972972972972973, 1.0, 0.984375, 1.0, 0.9836065573770492]",1292.77734375,1718.615234375,2.3380763989989646
5,16,3e-05,0.9880952380952381,"[0.9770114942528736, 1.0, 0.9823321554770318, 0.9971264367816092, 0.9854014598540146]","[0.9798270893371758, 0.9885496183206107, 0.9823321554770318, 1.0, 0.989010989010989]","[0.9784172661870504, 0.9942418426103646, 0.9823321554770318, 0.9985611510791367, 0.9872029250457038]",1382.30859375,2538.65673828125,41.462608472000284,0.9736147757255936,"[0.9879518072289156, 0.9558823529411765, 0.9594594594594594, 1.0, 0.9552238805970149]","[0.9425287356321839, 0.9848484848484849, 1.0, 1.0, 0.9411764705882353]","[0.9647058823529412, 0.9701492537313433, 0.9793103448275862, 1.0, 0.9481481481481482]",0.9760479041916168,"[0.9859154929577465, 1.0, 0.9130434782608695, 1.0, 0.9830508474576272]","[0.9210526315789473, 1.0, 1.0, 1.0, 0.9666666666666667]","[0.9523809523809523, 1.0, 0.9545454545454546, 1.0, 0.9747899159663865]",1298.0859375,1720.740234375,2.3472929210038274
2,16,2e-05,0.9953703703703703,"[0.9942196531791907, 0.9961832061068703, 0.9964664310954063, 1.0, 0.9890510948905109]","[0.9913544668587896, 0.9961832061068703, 0.9964664310954063, 1.0, 0.9926739926739927]","[0.9927849927849928, 0.9961832061068703, 0.9964664310954063, 1.0, 0.9908592321755028]",1394.06640625,2536.15673828125,42.035748964997765,0.9709762532981531,"[0.9764705882352941, 0.96875, 0.9857142857142858, 1.0, 0.9178082191780822]","[0.9540229885057471, 0.9393939393939394, 0.971830985915493, 1.0, 0.9852941176470589]","[0.9651162790697675, 0.9538461538461539, 0.9787234042553191, 1.0, 0.950354609929078]",0.9910179640718563,"[1.0, 1.0, 0.9692307692307692, 1.0, 0.9836065573770492]","[0.9605263157894737, 1.0, 1.0, 1.0, 1.0]","[0.9798657718120806, 1.0, 0.984375, 1.0, 0.9917355371900827]",1309.11328125,1720.740234375,2.2331186840019654
3,16,2e-05,0.9933862433862434,"[0.9884057971014493, 1.0, 0.9893992932862191, 1.0, 0.9890909090909091]","[0.9827089337175793, 1.0, 0.9893992932862191, 1.0, 0.9963369963369964]","[0.9855491329479769, 1.0, 0.9893992932862191, 1.0, 0.9927007299270073]",1406.453125,2538.03173828125,41.985755797999445,0.9841688654353562,"[1.0, 0.9696969696969697, 0.9859154929577465, 1.0, 0.9577464788732394]","[0.9655172413793104, 0.9696969696969697, 0.9859154929577465, 1.0, 1.0]","[0.9824561403508771, 0.9696969696969697, 0.9859154929577465, 1.0, 0.9784172661870504]",0.9850299401197605,"[1.0, 1.0, 0.9692307692307692, 1.0, 0.9523809523809523]","[0.9473684210526315, 0.9827586206896551, 1.0, 1.0, 1.0]","[0.972972972972973, 0.991304347826087, 0.984375, 1.0, 0.975609756097561]",1319.07421875,1717.365234375,2.294911870994838
5,16,2e-05,0.9887566137566137,"[0.9798270893371758, 0.9961685823754789, 0.9755244755244755, 1.0, 0.992619926199262]","[0.9798270893371758, 0.9923664122137404, 0.9858657243816255, 1.0, 0.9853479853479854]","[0.9798270893371758, 0.994263862332696, 0.9806678383128296, 1.0, 0.9889705882352942]",1409.78515625,2538.28173828125,41.936453025002265,0.9815303430079155,"[0.9882352941176471, 0.9696969696969697, 1.0, 1.0, 0.9444444444444444]","[0.9655172413793104, 0.9696969696969697, 0.971830985915493, 1.0, 1.0]","[0.9767441860465116, 0.9696969696969697, 0.9857142857142858, 1.0, 0.9714285714285714]",0.9880239520958084,"[1.0, 0.9830508474576272, 0.96875, 1.0, 0.9836065573770492]","[0.9605263157894737, 1.0, 0.9841269841269841, 1.0, 1.0]","[0.9798657718120806, 0.9914529914529915, 0.9763779527559056, 1.0, 0.9917355371900827]",1318.2265625,1717.865234375,2.2655066380029893
2,32,5e-05,0.9900793650793651,"[0.9770773638968482, 1.0, 0.9857651245551602, 0.9971264367816092, 0.9926739926739927]","[0.9827089337175793, 0.9961832061068703, 0.9787985865724381, 1.0, 0.9926739926739927]","[0.9798850574712644, 0.9980879541108987, 0.9822695035460993, 0.9985611510791367, 0.9926739926739927]",1448.3671875,3775.0634765625,35.93604860400228,0.9815303430079155,"[0.9882352941176471, 0.9696969696969697, 1.0, 1.0, 0.9428571428571428]","[0.9655172413793104, 0.9696969696969697, 1.0, 1.0, 0.9705882352941176]","[0.9767441860465116, 0.9696969696969697, 1.0, 1.0, 0.9565217391304348]",0.9910179640718563,"[1.0, 1.0, 0.9692307692307692, 1.0, 0.9836065573770492]","[0.9605263157894737, 1.0, 1.0, 1.0, 1.0]","[0.9798657718120806, 1.0, 0.984375, 1.0, 0.9917355371900827]",1361.41015625,1725.021484375,2.2956114929984324
