batch_size,learning_rate,seed,train_acc,train_precisions,train_recalls,train_f1s,max_memory_usage_train,max_vram_usage_train,total_train_time,val_acc,val_precisions,val_recalls,val_f1s,test_acc,test_precisions,test_recalls,test_f1s,max_memory_usage_test,max_vram_usage_test,total_test_time
16,5e-05,2,0.5138971023063276,"[0.6590118302018093, 0.9282767375436369, 0.8586912886391007, 0.8919793014230272, 0.6250555308751666]","[0.35048112509252405, 0.9055727554179567, 0.8173481085212075, 0.7980324074074074, 0.5526315789473685]","[0.4575984537327857, 0.9167842031029619, 0.8375097885669538, 0.8423946243127672, 0.5866166353971232]",1906.84765625,2528.90673828125,233.4336960879955,0.5102685624012638,"[0.7077922077922078, 0.9451697127937336, 0.8631051752921536, 0.8160377358490566, 0.5958702064896755]","[0.3244047619047619, 0.8982630272952854, 0.7917304747320061, 0.8046511627906977, 0.6332288401253918]","[0.4448979591836735, 0.9211195928753181, 0.8258785942492013, 0.810304449648712, 0.6139817629179332]",0.5023622047244094,"[0.6608187134502924, 0.947945205479452, 0.8418367346938775, 0.8018433179723502, 0.5911764705882353]","[0.3333333333333333, 0.854320987654321, 0.7545731707317073, 0.8055555555555556, 0.6340694006309149]","[0.44313725490196076, 0.8987012987012987, 0.7958199356913184, 0.8036951501154734, 0.6118721461187214]",1825.0625,1705.177734375,5.500150374005898
16,5e-05,3,0.40222747880938303,"[0.5842105263157895, 0.8812457221081451, 0.76319324505853, 0.7992592592592592, 0.5626582278481013]","[0.16432272390821615, 0.7972136222910217, 0.7598395108903324, 0.6244212962962963, 0.34917517674783977]","[0.2564991334488735, 0.8371261378413524, 0.7615126854954524, 0.7011046133853152, 0.43092583616093066]",1916.66796875,2536.40673828125,233.5737429150031,0.4834123222748815,"[0.7606837606837606, 0.9345549738219895, 0.7875354107648725, 0.9182389937106918, 0.5714285714285714]","[0.2648809523809524, 0.8858560794044665, 0.8514548238897397, 0.6790697674418604, 0.7398119122257053]","[0.39293598233995586, 0.9095541401273886, 0.8182487122884474, 0.7807486631016043, 0.644808743169399]",0.468503937007874,"[0.6388888888888888, 0.9433962264150944, 0.7855113636363636, 0.9235668789808917, 0.549636803874092]","[0.2713864306784661, 0.8641975308641975, 0.8429878048780488, 0.6712962962962963, 0.7160883280757098]","[0.38095238095238093, 0.9020618556701031, 0.8132352941176471, 0.7774798927613941, 0.6219178082191781]",1852.49609375,1707.552734375,5.75173506399733
16,5e-05,5,0.5813128326434063,"[0.7345286292654714, 0.9462264150943396, 0.8915349209525716, 0.9290161892901619, 0.6764940239043825]","[0.4700222057735011, 0.9315789473684211, 0.8511654566297286, 0.8634259259259259, 0.6669285153181461]","[0.5732340329496728, 0.9388455538221528, 0.8708826116704135, 0.8950209958008398, 0.6716772151898734]",1965.63671875,2531.90673828125,234.65865480299544,0.5126382306477093,"[0.6536585365853659, 0.9191919191919192, 0.8112927191679049, 0.8984771573604061, 0.585635359116022]","[0.39880952380952384, 0.9032258064516129, 0.8361408882082695, 0.8232558139534883, 0.664576802507837]","[0.4953789279112754, 0.9111389236545682, 0.8235294117647058, 0.8592233009708737, 0.6226138032305433]",0.4984251968503937,"[0.616822429906542, 0.9211195928753181, 0.8183229813664596, 0.8317307692307693, 0.6011396011396012]","[0.3893805309734513, 0.8938271604938272, 0.8033536585365854, 0.8009259259259259, 0.6656151419558359]","[0.47739602169981915, 0.9072681704260651, 0.8107692307692308, 0.8160377358490566, 0.6317365269461078]",1876.21484375,1703.177734375,5.810015187002136
16,3e-05,2,0.5195150798344175,"[0.6643086816720257, 0.9289565493181098, 0.8571428571428571, 0.8887468030690537, 0.6283575517393218]","[0.3823094004441155, 0.9068111455108359, 0.815055406954528, 0.8043981481481481, 0.5604870384917517]","[0.48531829927178766, 0.9177502741657528, 0.8355694838899226, 0.8444714459295262, 0.5924849491384679]",1965.7734375,2533.15673828125,234.14142457300477,0.5157977883096366,"[0.640495867768595, 0.9336734693877551, 0.8561872909698997, 0.8316326530612245, 0.6474820143884892]","[0.46130952380952384, 0.9081885856079405, 0.7840735068912711, 0.7581395348837209, 0.5642633228840125]","[0.5363321799307958, 0.9207547169811321, 0.8185451638689049, 0.7931873479318735, 0.6030150753768844]",0.5078740157480315,"[0.5930232558139535, 0.9345549738219895, 0.8586572438162544, 0.8673469387755102, 0.6284722222222222]","[0.45132743362831856, 0.8814814814814815, 0.7408536585365854, 0.7870370370370371, 0.5709779179810726]","[0.5125628140703518, 0.9072426937738246, 0.795417348608838, 0.8252427184466019, 0.5983471074380166]",1876.3515625,1705.302734375,5.629734344001918
16,3e-05,3,0.5796372954859058,"[0.7285954113038612, 0.9459543892533583, 0.892064761143314, 0.9275905118601748, 0.6769415532425941]","[0.48186528497409326, 0.9374613003095975, 0.8526939243408483, 0.8599537037037037, 0.664179104477612]","[0.5800846513700156, 0.9416886953817447, 0.8719351372472404, 0.8924924924924925, 0.6704996034892942]",1965.8671875,2532.40673828125,234.88202158899367,0.514218009478673,"[0.6094420600858369, 0.9181141439205955, 0.8591304347826086, 0.8356807511737089, 0.6068965517241379]","[0.4226190476190476, 0.9181141439205955, 0.7565084226646248, 0.827906976744186, 0.5517241379310345]","[0.4991212653778559, 0.9181141439205955, 0.8045602605863192, 0.8317757009345794, 0.5779967159277504]",0.5055118110236221,"[0.58203125, 0.9213197969543148, 0.8799283154121864, 0.8486238532110092, 0.6363636363636364]","[0.43952802359882004, 0.8962962962962963, 0.7484756097560976, 0.8564814814814815, 0.5741324921135647]","[0.5008403361344538, 0.9086357947434293, 0.8088962108731467, 0.8525345622119815, 0.603648424543947]",1876.4453125,1704.302734375,5.672961500997189
16,3e-05,5,0.525625862408831,"[0.6717914438502673, 0.9313756782636451, 0.865138917055364, 0.8810269254852849, 0.6363236587510994]","[0.3719467061435973, 0.903405572755418, 0.815055406954528, 0.8142361111111112, 0.5683424980361351]","[0.4787994282991901, 0.9171774320289172, 0.8393507132316773, 0.8463157894736842, 0.6004149377593361]",1966.94921875,2535.40673828125,234.42672128199774,0.5031595576619273,"[0.5525525525525525, 0.9536784741144414, 0.8441971383147854, 0.9147727272727273, 0.6761133603238867]","[0.5476190476190477, 0.8684863523573201, 0.8131699846860643, 0.7488372093023256, 0.5235109717868338]","[0.5500747384155455, 0.9090909090909091, 0.828393135725429, 0.8235294117647058, 0.5901060070671378]",0.48346456692913387,"[0.5266272189349113, 0.957983193277311, 0.8371335504885994, 0.9130434782608695, 0.640495867768595]","[0.5250737463126843, 0.8444444444444444, 0.7835365853658537, 0.7777777777777778, 0.4889589905362776]","[0.5258493353028065, 0.8976377952755905, 0.8094488188976378, 0.84, 0.554561717352415]",1880.546875,1704.177734375,5.696201298000233
16,2e-05,2,0.5123201261580919,"[0.6604897418927862, 0.9276232616940582, 0.8542086186065244, 0.8880358285348688, 0.6157303370786517]","[0.36935603256846783, 0.9086687306501547, 0.8104700038211693, 0.8032407407407407, 0.5380989787902593]","[0.4737716591502492, 0.9180481701595246, 0.831764705882353, 0.8435126101488909, 0.5743030811150702]",1972.86328125,2529.15673828125,234.4704303680046,0.5071090047393365,"[0.6666666666666666, 0.9487870619946092, 0.8522727272727273, 0.8477157360406091, 0.6]","[0.4166666666666667, 0.8734491315136477, 0.8039816232771823, 0.7767441860465116, 0.6112852664576802]","[0.5128205128205128, 0.9095607235142119, 0.8274231678486997, 0.8106796116504854, 0.6055900621118012]",0.515748031496063,"[0.5974025974025974, 0.9658119658119658, 0.8521594684385382, 0.8636363636363636, 0.60790273556231]","[0.40707964601769914, 0.837037037037037, 0.7820121951219512, 0.7916666666666666, 0.6309148264984227]","[0.4842105263157895, 0.8968253968253969, 0.8155802861685215, 0.8260869565217391, 0.6191950464396285]",1885.66796875,1702.052734375,5.646773732005386
16,2e-05,3,0.5703725606150207,"[0.7168949771689498, 0.9444270015698587, 0.8907004830917874, 0.9274546591619762, 0.6672077922077922]","[0.46484085862324204, 0.9312693498452013, 0.8454337027130302, 0.8582175925925926, 0.6457187745483111]","[0.5639874270318814, 0.9378020265003897, 0.8674769653009214, 0.8914938382927562, 0.6562874251497006]",1977.06640625,2534.15673828125,234.56156242600264,0.5150078988941548,"[0.6536312849162011, 0.9055690072639225, 0.8651488616462347, 0.8181818181818182, 0.6262626262626263]","[0.3482142857142857, 0.9280397022332506, 0.7565084226646248, 0.8372093023255814, 0.5830721003134797]","[0.45436893203883494, 0.9166666666666666, 0.8071895424836601, 0.8275862068965517, 0.6038961038961039]",0.5149606299212598,"[0.6232558139534884, 0.8929440389294404, 0.8761552680221811, 0.8243243243243243, 0.6515679442508711]","[0.3952802359882006, 0.9061728395061729, 0.7225609756097561, 0.8472222222222222, 0.5899053627760252]","[0.48375451263537905, 0.8995098039215687, 0.7919799498746867, 0.8356164383561644, 0.6192052980132451]",1887.67578125,1704.802734375,5.686519273003796
16,2e-05,5,0.5163611275379459,"[0.6707734428473648, 0.9285943003522255, 0.8575458392101551, 0.8666249217282405, 0.6250555308751666]","[0.3626943005181347, 0.8978328173374613, 0.8131448223156286, 0.8009259259259259, 0.5526315789473685]","[0.4708143165986068, 0.9129545096804659, 0.8347553201922134, 0.8324812030075188, 0.5866166353971232]",1977.0703125,2530.90673828125,234.5814826509959,0.49842022116903634,"[0.5208333333333334, 0.9544235924932976, 0.8536184210526315, 0.8852459016393442, 0.7004608294930875]","[0.5208333333333334, 0.8833746898263027, 0.7947932618683001, 0.7534883720930232, 0.47648902821316613]","[0.5208333333333334, 0.9175257731958762, 0.8231562252180809, 0.8140703517587939, 0.5671641791044776]",0.4889763779527559,"[0.5189504373177842, 0.9553072625698324, 0.8494077834179357, 0.9090909090909091, 0.6785714285714286]","[0.5250737463126843, 0.8444444444444444, 0.7652439024390244, 0.7870370370370371, 0.4794952681388013]","[0.5219941348973607, 0.8964613368283093, 0.8051323175621492, 0.8436724565756824, 0.5619223659889094]",1887.68359375,1704.802734375,5.659605490000104
32,5e-05,2,0.5783560023654643,"[0.730791450028885, 0.9434728294815741, 0.8898203592814371, 0.9187192118226601, 0.6777777777777778]","[0.46817172464840856, 0.9352941176470588, 0.8517386320213985, 0.8634259259259259, 0.6708562450903378]","[0.5707196029776674, 0.9393656716417911, 0.8703631393986724, 0.8902147971360382, 0.6742992499013029]",2014.4765625,3770.56396484375,199.31038907900074,0.4968404423380727,"[0.585820895522388, 0.9154228855721394, 0.8320610687022901, 0.8763440860215054, 0.697560975609756]","[0.46726190476190477, 0.913151364764268, 0.8346094946401225, 0.7581395348837209, 0.4482758620689655]","[0.5198675496688742, 0.9142857142857143, 0.8333333333333334, 0.8129675810473815, 0.5458015267175572]",0.48503937007874015,"[0.5543071161048689, 0.9368686868686869, 0.8190327613104524, 0.8724489795918368, 0.691304347826087]","[0.4365781710914454, 0.9160493827160494, 0.8003048780487805, 0.7916666666666666, 0.501577287066246]","[0.4884488448844885, 0.9263420724094882, 0.8095605242868157, 0.8300970873786407, 0.5813528336380256]",1925.0546875,1710.45947265625,5.563865699004964
