seed,batch_size,learning_rate,train_acc,train_precisions,train_recalls,train_f1s,max_memory_usage_train,max_vram_usage_train,total_train_time,val_acc,val_precisions,val_recalls,val_f1s,test_acc,test_precisions,test_recalls,test_f1s,max_memory_usage_test,max_vram_usage_test,total_test_time
2,16,5e-05,0.9463125,"[0.9773310521813516, 0.9607843137254902, 0.8587786259541985, 0.952712100139082, 0.9124423963133641, 0.8451730418943534]","[0.9794256322331761, 0.9595300261096605, 0.8627300613496932, 0.951829550717925, 0.9199793495095508, 0.8111888111888111]","[0.9783772211517876, 0.9601567602873938, 0.8607498087222647, 0.9522706209453198, 0.9161953727506427, 0.8278322925958965]",1449.96875,2528.91845703125,364.88201565599593,0.94,"[0.9620253164556962, 0.9330655957161981, 0.9652777777777778, 0.9839357429718876, 0.8414634146341463, 0.9836065573770492]","[0.9672727272727273, 0.9900568181818182, 0.7808988764044944, 0.8909090909090909, 0.9764150943396226, 0.7407407407407407]","[0.9646418857660924, 0.9607167470709855, 0.8633540372670807, 0.9351145038167938, 0.9039301310043668, 0.8450704225352113]",0.927,"[0.9656357388316151, 0.9071618037135278, 0.9083333333333333, 0.9838056680161943, 0.8494208494208494, 0.9473684210526315]","[0.9672977624784854, 0.9841726618705036, 0.6855345911949685, 0.8836363636363637, 0.9821428571428571, 0.5454545454545454]","[0.9664660361134996, 0.9440993788819876, 0.7813620071684588, 0.9310344827586207, 0.9109730848861284, 0.6923076923076923]",1368.2421875,1703.564453125,9.198103304996039
3,16,5e-05,0.9349375,"[0.9697684391080618, 0.9522561318105224, 0.8360902255639098, 0.9345238095238095, 0.9075718015665797, 0.8109540636042403]","[0.9693527646806687, 0.948526669153301, 0.852760736196319, 0.9453450671607225, 0.8972638100154878, 0.8024475524475524]","[0.9695605573419078, 0.9503877417546482, 0.8443432042520881, 0.9399032926548468, 0.9023883696780893, 0.8066783831282952]",1468.390625,2538.04345703125,364.61280474100204,0.9355,"[0.9671532846715328, 0.928763440860215, 0.9851851851851852, 0.955719557195572, 0.8888888888888888, 0.7789473684210526]","[0.9636363636363636, 0.9815340909090909, 0.7471910112359551, 0.9418181818181818, 0.8679245283018868, 0.9135802469135802]","[0.9653916211293261, 0.9544198895027625, 0.8498402555910544, 0.9487179487179487, 0.8782816229116945, 0.8409090909090909]",0.9265,"[0.9621342512908778, 0.9228687415426252, 0.9908256880733946, 0.9365671641791045, 0.9018691588785047, 0.6741573033707865]","[0.9621342512908778, 0.981294964028777, 0.6792452830188679, 0.9127272727272727, 0.8616071428571429, 0.9090909090909091]","[0.9621342512908778, 0.9511854951185496, 0.8059701492537313, 0.9244935543278084, 0.8812785388127854, 0.7741935483870968]",1396.91015625,1706.189453125,9.07184413199866
5,16,5e-05,0.935,"[0.9695475016084066, 0.9515434985968194, 0.8405797101449275, 0.9339491916859123, 0.9, 0.8351648351648352]","[0.9689241320188599, 0.948526669153301, 0.8450920245398773, 0.936544696618805, 0.9153329891584925, 0.7972027972027972]","[0.9692357165826991, 0.9500326888951154, 0.84282982791587, 0.9352451433857539, 0.9076017404658305, 0.815742397137746]",1486.2890625,2535.16845703125,364.7699517229994,0.9375,"[0.9625, 0.9461325966850829, 0.96, 0.9311594202898551, 0.9293478260869565, 0.7452830188679245]","[0.98, 0.9730113636363636, 0.8089887640449438, 0.9345454545454546, 0.8066037735849056, 0.9753086419753086]","[0.9711711711711711, 0.9593837535014006, 0.8780487804878049, 0.9328493647912885, 0.8636363636363636, 0.8449197860962567]",0.9315,"[0.9641638225255973, 0.9302325581395349, 0.95, 0.9304029304029304, 0.9587628865979382, 0.6666666666666666]","[0.9724612736660929, 0.9784172661870504, 0.7169811320754716, 0.9236363636363636, 0.8303571428571429, 0.9696969696969697]","[0.9682947729220223, 0.9537166900420757, 0.8172043010752689, 0.927007299270073, 0.8899521531100478, 0.7901234567901234]",1397.421875,1710.564453125,9.089542342997447
2,16,3e-05,0.9391875,"[0.9736108131302296, 0.9569369032016476, 0.843562874251497, 0.9418604651162791, 0.9052254098360656, 0.8196428571428571]","[0.9725675096442349, 0.953189108541589, 0.8642638036809815, 0.9379342288096341, 0.9122354155911203, 0.8024475524475524]","[0.9730888817411815, 0.9550593291600485, 0.8537878787878788, 0.9398932466929683, 0.9087168938030342, 0.8109540636042403]",1474.90234375,2540.04345703125,365.13763848599774,0.938,"[0.9637023593466425, 0.9375, 0.9856115107913669, 0.9405204460966543, 0.8577586206896551, 0.9041095890410958]","[0.9654545454545455, 0.9801136363636364, 0.7696629213483146, 0.92, 0.9386792452830188, 0.8148148148148148]","[0.9645776566757494, 0.9583333333333334, 0.8643533123028391, 0.9301470588235294, 0.8963963963963963, 0.8571428571428571]",0.9305,"[0.9657534246575342, 0.918918918918919, 0.972972972972973, 0.9509433962264151, 0.8688524590163934, 0.8035714285714286]","[0.9707401032702238, 0.9784172661870504, 0.6792452830188679, 0.9163636363636364, 0.9464285714285714, 0.6818181818181818]","[0.9682403433476395, 0.9477351916376306, 0.8, 0.9333333333333333, 0.905982905982906, 0.7377049180327869]",1397.48828125,1706.689453125,9.35036016000231
3,16,3e-05,0.94675,"[0.9777682770414707, 0.9610728254796052, 0.8677940046118371, 0.9512534818941504, 0.910164271047228, 0.8418181818181818]","[0.9802828975567939, 0.9623274897426334, 0.86579754601227, 0.9490504863362668, 0.9153329891584925, 0.8094405594405595]","[0.9790239726027398, 0.9616997483925077, 0.8667946257197697, 0.9501507071643868, 0.9127413127413128, 0.8253119429590018]",1486.98046875,2534.91845703125,365.8440803670019,0.9385,"[0.9777777777777777, 0.9819548872180451, 0.8284313725490197, 0.9624060150375939, 0.8484848484848485, 0.7978723404255319]","[0.96, 0.9275568181818182, 0.949438202247191, 0.9309090909090909, 0.9245283018867925, 0.9259259259259259]","[0.9688073394495413, 0.9539810080350621, 0.8848167539267016, 0.9463955637707948, 0.8848758465011287, 0.8571428571428571]",0.929,"[0.9772727272727273, 0.9861325115562404, 0.7783505154639175, 0.929368029739777, 0.8669527896995708, 0.6746987951807228]","[0.9621342512908778, 0.920863309352518, 0.949685534591195, 0.9090909090909091, 0.9017857142857143, 0.8484848484848485]","[0.9696444058976583, 0.9523809523809523, 0.8555240793201133, 0.9191176470588235, 0.8840262582056893, 0.7516778523489933]",1397.55859375,1706.064453125,9.018433242003084
5,16,3e-05,0.9474375,"[0.9794476557482338, 0.9624439461883408, 0.8624620060790273, 0.9572291957229195, 0.909598781107161, 0.8280961182994455]","[0.9804972138876983, 0.9606490115628497, 0.870398773006135, 0.953682260305697, 0.9246257098606092, 0.7832167832167832]","[0.9799721537967228, 0.9615456412170991, 0.8664122137404581, 0.9554524361948956, 0.9170506912442397, 0.8050314465408805]",1487.05859375,2538.54345703125,365.6443221380032,0.9395,"[0.9727767695099818, 0.983358547655068, 0.8056872037914692, 0.9263157894736842, 0.8899082568807339, 0.8783783783783784]","[0.9745454545454545, 0.9232954545454546, 0.9550561797752809, 0.96, 0.9150943396226415, 0.8024691358024691]","[0.9736603088101726, 0.9523809523809523, 0.8740359897172236, 0.9428571428571428, 0.9023255813953488, 0.8387096774193549]",0.9405,"[0.9661590524534687, 0.9891304347826086, 0.7647058823529411, 0.9420289855072463, 0.908695652173913, 0.8727272727272727]","[0.9827882960413081, 0.9165467625899281, 0.9811320754716981, 0.9454545454545454, 0.9330357142857143, 0.7272727272727273]","[0.9744027303754266, 0.9514563106796117, 0.859504132231405, 0.9437386569872959, 0.920704845814978, 0.7933884297520661]",1397.63671875,1704.189453125,8.950633100997948
2,16,2e-05,0.9501875,"[0.9790508764429243, 0.9622325581395349, 0.8778979907264297, 0.9537465309898242, 0.9207003089598352, 0.8469945355191257]","[0.9815687955422203, 0.9645654606490116, 0.8711656441717791, 0.9550717924965262, 0.9230769230769231, 0.8129370629370629]","[0.9803082191780822, 0.9633975970941604, 0.8745188606620478, 0.9544087016894237, 0.9218870843000774, 0.8296164139161463]",1487.02734375,2535.41845703125,365.9566845369991,0.9385,"[0.9535714285714286, 0.9613733905579399, 0.8757062146892656, 0.9803149606299213, 0.8794642857142857, 0.813953488372093]","[0.9709090909090909, 0.9545454545454546, 0.8707865168539326, 0.9054545454545454, 0.9292452830188679, 0.8641975308641975]","[0.9621621621621622, 0.9579472558802566, 0.8732394366197183, 0.941398865784499, 0.9036697247706422, 0.8383233532934131]",0.935,"[0.9595278246205734, 0.9523809523809523, 0.8516129032258064, 0.9725490196078431, 0.8786610878661087, 0.7846153846153846]","[0.9793459552495697, 0.9496402877697842, 0.8301886792452831, 0.9018181818181819, 0.9375, 0.7727272727272727]","[0.969335604770017, 0.9510086455331412, 0.8407643312101911, 0.9358490566037736, 0.9071274298056156, 0.7786259541984732]",1397.05859375,1705.064453125,8.678543392998108
3,16,2e-05,0.942,"[0.9734645837791569, 0.9637804187889077, 0.8475073313782991, 0.9427780341485925, 0.9084287200832466, 0.8184991273996509]","[0.9749249892841835, 0.952816113390526, 0.8865030674846626, 0.9462714219546086, 0.9013939081053175, 0.8199300699300699]","[0.9741942392119071, 0.9582669042483354, 0.8665667166416792, 0.9445214979195562, 0.9048976418761338, 0.8192139737991266]",1486.96875,2537.29345703125,365.4182264439951,0.9395,"[0.9706959706959707, 0.9432918395573997, 0.8982035928143712, 0.9656488549618321, 0.8853211009174312, 0.8452380952380952]","[0.9636363636363636, 0.96875, 0.8426966292134831, 0.92, 0.910377358490566, 0.8765432098765432]","[0.9671532846715328, 0.9558514365802383, 0.8695652173913043, 0.9422718808193669, 0.8976744186046511, 0.8606060606060606]",0.928,"[0.9703832752613241, 0.9274965800273598, 0.8958333333333334, 0.9457364341085271, 0.9032258064516129, 0.6842105263157895]","[0.9586919104991394, 0.9755395683453237, 0.8113207547169812, 0.8872727272727273, 0.875, 0.7878787878787878]","[0.9645021645021645, 0.9509116409537167, 0.8514851485148515, 0.9155722326454033, 0.8888888888888888, 0.7323943661971831]",1397.56640625,1709.189453125,8.804492891998962
5,16,2e-05,0.94975,"[0.9798715203426124, 0.9642857142857143, 0.871504157218443, 0.9559164733178654, 0.9201030927835051, 0.824468085106383]","[0.9807115302186027, 0.9617679970160388, 0.88420245398773, 0.9541454377026402, 0.9215281362932369, 0.8129370629370629]","[0.9802913453299057, 0.9630252100840336, 0.8778073848496384, 0.9550301344459898, 0.9208150631931906, 0.8186619718309859]",1486.98046875,2536.16845703125,366.0637043960014,0.9375,"[0.967391304347826, 0.9720998531571219, 0.83, 0.9343065693430657, 0.8952380952380953, 0.8313253012048193]","[0.9709090909090909, 0.9403409090909091, 0.9325842696629213, 0.9309090909090909, 0.8867924528301887, 0.8518518518518519]","[0.969147005444646, 0.955956678700361, 0.8783068783068783, 0.9326047358834244, 0.8909952606635071, 0.8414634146341463]",0.933,"[0.9709401709401709, 0.972768532526475, 0.772020725388601, 0.9375, 0.908675799086758, 0.7428571428571429]","[0.9776247848537005, 0.9251798561151079, 0.9371069182389937, 0.9272727272727272, 0.8883928571428571, 0.7878787878787878]","[0.9742710120068611, 0.948377581120944, 0.8465909090909091, 0.9323583180987203, 0.8984198645598194, 0.7647058823529411]",1397.09765625,1705.564453125,8.746005387998594
2,32,5e-05,0.9525,"[0.9805055698371894, 0.9647322261615973, 0.8740399385560675, 0.9605202043660009, 0.9196157735085946, 0.8666666666666667]","[0.9809258465495071, 0.9641924654979486, 0.8726993865030674, 0.9578508568781844, 0.9390810531750129, 0.8181818181818182]","[0.9807156631669166, 0.9644622703106054, 0.8733691481197237, 0.9591836734693877, 0.9292464878671776, 0.841726618705036]",1527.765625,3770.2001953125,310.92262419799954,0.9385,"[0.9488536155202821, 0.9447513812154696, 0.9182389937106918, 0.9839357429718876, 0.8595744680851064, 0.9393939393939394]","[0.9781818181818182, 0.9715909090909091, 0.8202247191011236, 0.8909090909090909, 0.9528301886792453, 0.7654320987654321]","[0.963294538943599, 0.957983193277311, 0.8664688427299704, 0.9351145038167938, 0.9038031319910514, 0.8435374149659864]",0.931,"[0.9548494983277592, 0.933240611961057, 0.8676470588235294, 0.9918367346938776, 0.8384615384615385, 0.9761904761904762]","[0.9827882960413081, 0.9654676258992806, 0.7421383647798742, 0.8836363636363637, 0.9732142857142857, 0.6212121212121212]","[0.9686174724342663, 0.9490806223479491, 0.8, 0.9346153846153846, 0.9008264462809917, 0.7592592592592593]",1437.87109375,1715.970703125,8.865251741000975
