seed,batch_size,learning_rate,train_acc,train_precisions,train_recalls,train_f1s,max_memory_usage_train,max_vram_usage_train,total_train_time,val_acc,val_precisions,val_recalls,val_f1s,test_acc,test_precisions,test_recalls,test_f1s,max_memory_usage_test,max_vram_usage_test,total_test_time
2,16,5e-05,0.8508048937540245,"[0.8886986301369864, 0.819643276226238]","[0.8020605280103026, 0.8995492594977463]","[0.8431598185879645, 0.8577393012832321]",1457.94140625,2528.85986328125,754.9742870129994,0.8207571465361834,"[0.8826781326781327, 0.7760532150776053]","[0.7399588053553038, 0.9015971148892323]","[0.8050420168067227, 0.8341277407054337]",0.8202420808653104,"[0.87689508793208, 0.7784243509400179]","[0.7449768160741885, 0.8954685890834192]","[0.8055710306406685, 0.8328544061302682]",1459.01171875,1705.255859375,17.911761884000953
3,16,5e-05,0.85460399227302,"[0.8938635388356458, 0.8224616465628294]","[0.8047649710238248, 0.9044430135222151]","[0.8469775006776904, 0.8615063788027478]",1550.515625,2535.85986328125,760.1499144739992,0.8261653360803503,"[0.8813967489464178, 0.7848784878487849]","[0.7538619979402678, 0.8985059247810407]","[0.8126561199000832, 0.8378573144367043]",0.8241050733968581,"[0.870872641509434, 0.7878372199359853]","[0.7609479649665121, 0.8872296601441813]","[0.8122078636238659, 0.8345846451925406]",1466.33203125,1704.255859375,18.25809503200071
5,16,5e-05,0.7801674179008371,"[0.8100327775402594, 0.755550334782098]","[0.7320025756600129, 0.8283322601416613]","[0.7690434312001082, 0.790269074824917]",1555.6796875,2530.73486328125,761.2537261489997,0.8166366211691991,"[0.8652019002375297, 0.7794452023647113]","[0.7502574665293512, 0.8830499742400825]","[0.8036403750689465, 0.8280193236714976]",0.8127736286376513,"[0.8621718377088305, 0.7752605346624377]","[0.7444616177228233, 0.8810504634397528]","[0.7990047000276472, 0.8247770547119788]",1466.34765625,1704.380859375,17.59737763799967
2,16,3e-05,0.8614294913071474,"[0.9006996002284409, 0.8291695988740324]","[0.8124275595621377, 0.9104314230521571]","[0.8542893899383844, 0.8679025228653858]",1555.859375,2536.60986328125,763.0430155949998,0.8284831315992789,"[0.882494004796163, 0.7878103837471784]","[0.7579814624098867, 0.899021123132406]","[0.8155124653739613, 0.8397497593840231]",0.8284831315992789,"[0.8792385484830458, 0.7897366030881017]","[0.7614631633178773, 0.8954685890834192]","[0.816123688569851, 0.8392857142857143]",1466.55078125,1706.380859375,18.071242687999984
3,16,3e-05,0.7839343206696716,"[0.8088966725043782, 0.7627047959487637]","[0.7435286542176432, 0.8243399871217]","[0.7748364368394565, 0.7923255454123472]",1555.9921875,2532.35986328125,762.6013046299995,0.8140612928148339,"[0.8600944510035419, 0.7784376427592508]","[0.7502574665293512, 0.8778979907264297]","[0.8014301430143014, 0.825181598062954]",0.8140612928148339,"[0.8574780058651026, 0.7800734618916437]","[0.753219989696033, 0.8748712667353244]","[0.8019747668678003, 0.824757281553398]",1466.578125,1704.755859375,17.965122273000816
5,16,3e-05,0.8594333547971668,"[0.8963362681056518, 0.8288171536286523]","[0.8128783000643915, 0.9059884095299421]","[0.8525697305328561, 0.8656863348304928]",1556.04296875,2535.73486328125,761.9456816969996,0.8274530002575329,"[0.8840579710144928, 0.7853614728334082]","[0.7538619979402678, 0.9010819165378671]","[0.8137854363535297, 0.8392514395393474]",0.829513262941025,"[0.8795252225519288, 0.7911737943585078]","[0.7635239567233385, 0.8954685890834192]","[0.8174296745725317, 0.840096618357488]",1466.62109375,1705.380859375,17.87921181100137
2,16,2e-05,0.8593689632968449,"[0.8954790249433107, 0.8293013924946896]","[0.8137153895685769, 0.9050225370251127]","[0.8526415221644963, 0.8655089599113246]",1556.04296875,2531.60986328125,762.282283079001,0.8320885912953901,"[0.8894927536231884, 0.7894027840143691]","[0.758496395468589, 0.9057187017001546]","[0.8187882156753752, 0.8435700575815739]",0.8248776719031676,"[0.8865726548129982, 0.7801953818827708]","[0.7449768160741885, 0.9047373841400618]","[0.8096304591265397, 0.837863614687649]",1466.62109375,1706.505859375,17.723357857999872
3,16,2e-05,0.8574050225370251,"[0.8937362559409804, 0.8272121676590226]","[0.8112685125563426, 0.9035415325177076]","[0.8505079825834543, 0.8636937186470932]",1556.08984375,2533.73486328125,761.7765702289998,0.8233324748905485,"[0.8801452784503632, 0.7812640071716719]","[0.748712667353244, 0.8979907264296755]","[0.8091263216471898, 0.8355704697986577]",0.8235900077259851,"[0.8792270531400966, 0.7822182308037718]","[0.7501287995878413, 0.8970133882595263]","[0.8095635251598554, 0.8356920124730152]",1466.7265625,1703.380859375,17.95673768300003
5,16,2e-05,0.8597231165486156,"[0.8950010605953476, 0.8302299462079565]","[0.8150676110753381, 0.9043786220218931]","[0.8531661780069424, 0.8657194809997842]",1556.1484375,2531.60986328125,762.4039696279997,0.8264228689157868,"[0.8729411764705882, 0.7901969766376546]","[0.7641606591143152, 0.8887171561051005]","[0.814936847885777, 0.8365664403491756]",0.8277105330929694,"[0.8706293706293706, 0.7937240424550069]","[0.7697063369397218, 0.8856848609680742]","[0.8170631665299426, 0.8371866634217571]",1466.9609375,1708.380859375,18.560120176000055
2,32,5e-05,0.8603026400515132,"[0.8978880750906635, 0.8292051538506795]","[0.8130714745653573, 0.907533805537669]","[0.8533774879194405, 0.8666031297076275]",1596.6640625,3772.26611328125,646.2025759479984,0.8264228689157868,"[0.8518312985571587, 0.8044209514656415]","[0.790422245108136, 0.8624420401854714]","[0.8199786324786325, 0.8324216807558429]",0.8313159927890806,"[0.8580178173719376, 0.808337326305702]","[0.7939206594538898, 0.868692070030896]","[0.8247257158148247, 0.8374286423430132]",1507.2421875,1715.162109375,18.197822405001716
