mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_classifier;param_classifier__estimator__max_depth;param_classifier__estimator__n_estimators;param_vectorizer;param_classifier__estimator__C;param_classifier__estimator__kernel;param_classifier__estimator__alpha;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
5.207888460159301;0.08909147768300989;0.27434511184692384;0.017596839567478373;OneVsRestClassifier(estimator=RandomForestClassifier());10;200.0;CountVectorizer();;;;{'classifier': OneVsRestClassifier(estimator=RandomForestClassifier()), 'classifier__estimator__max_depth': 10, 'classifier__estimator__n_estimators': 200, 'vectorizer': CountVectorizer()};0.0327455919395466;0.04032766225582861;0.035916824196597356;0.03339634530560807;0.037177063642092;0.035912697467934525;0.002736901114888082;38
5.398826742172242;0.030417641709770495;0.19323906898498536;0.008074557017812761;OneVsRestClassifier(estimator=RandomForestClassifier());20;100.0;TfidfVectorizer();;;;{'classifier': OneVsRestClassifier(estimator=RandomForestClassifier()), 'classifier__estimator__max_depth': 20, 'classifier__estimator__n_estimators': 100, 'vectorizer': TfidfVectorizer()};0.12279596977329975;0.10522999369880277;0.11090107120352867;0.11216131064902331;0.11720226843100189;0.11365812275113127;0.005948720128373115;29
4.69418478012085;0.0717451008082012;0.18513860702514648;0.005182917016223771;OneVsRestClassifier(estimator=RandomForestClassifier());20;100.0;CountVectorizer();;;;{'classifier': OneVsRestClassifier(estimator=RandomForestClassifier()), 'classifier__estimator__max_depth': 20, 'classifier__estimator__n_estimators': 100, 'vectorizer': CountVectorizer()};0.12405541561712846;0.11405166981726528;0.12161310649023314;0.10649023314429741;0.11405166981726528;0.11605241897723792;0.006235552792515368;27
8.044782400131226;0.027731712614322765;0.27929010391235354;0.014691190984602585;OneVsRestClassifier(estimator=RandomForestClassifier());20;150.0;TfidfVectorizer();;;;{'classifier': OneVsRestClassifier(estimator=RandomForestClassifier()), 'classifier__estimator__max_depth': 20, 'classifier__estimator__n_estimators': 150, 'vectorizer': TfidfVectorizer()};0.12153652392947104;0.10838059231253938;0.10838059231253938;0.11909262759924386;0.10775047258979206;0.11302816174871715;0.006003728495485292;30
6.951902866363525;0.05972255741965626;0.27888169288635256;0.008025081716207217;OneVsRestClassifier(estimator=RandomForestClassifier());20;150.0;CountVectorizer();;;;{'classifier': OneVsRestClassifier(estimator=RandomForestClassifier()), 'classifier__estimator__max_depth': 20, 'classifier__estimator__n_estimators': 150, 'vectorizer': CountVectorizer()};0.12027707808564232;0.10144927536231885;0.10775047258979206;0.10712035286704474;0.10712035286704474;0.10874350635436854;0.006204586258409624;31
10.612627363204956;0.09984127718372693;0.3603717803955078;0.010446577474546167;OneVsRestClassifier(estimator=RandomForestClassifier());20;200.0;TfidfVectorizer();;;;{'classifier': OneVsRestClassifier(estimator=RandomForestClassifier()), 'classifier__estimator__max_depth': 20, 'classifier__estimator__n_estimators': 200, 'vectorizer': TfidfVectorizer()};0.11586901763224182;0.11090107120352867;0.1146817895400126;0.11846250787649654;0.11531190926275993;0.11504525910300792;0.0024385927528599387;28
9.1997230052948;0.08537765341728241;0.3532258987426758;0.007872963652007842;OneVsRestClassifier(estimator=RandomForestClassifier());20;200.0;CountVectorizer();;;;{'classifier': OneVsRestClassifier(estimator=RandomForestClassifier()), 'classifier__estimator__max_depth': 20, 'classifier__estimator__n_estimators': 200, 'vectorizer': CountVectorizer()};0.11335012594458438;0.1001890359168242;0.10649023314429741;0.10838059231253938;0.10838059231253938;0.10735811592615696;0.004246034118695157;32
20.65103988647461;0.19776936445626658;4.068332052230835;0.026570213754583457;OneVsRestClassifier(estimator=SVC());;;TfidfVectorizer();1.0;linear;;{'classifier': OneVsRestClassifier(estimator=SVC()), 'classifier__estimator__C': 1, 'classifier__estimator__kernel': 'linear', 'vectorizer': TfidfVectorizer()};0.40554156171284633;0.4045368620037807;0.3868935097668557;0.426591052299937;0.4114681789540013;0.4070062329474842;0.012776844678222056;5
21.052031421661376;0.4269775893952448;3.4109292030334473;0.05245239204903476;OneVsRestClassifier(estimator=SVC());;;CountVectorizer();1.0;linear;;{'classifier': OneVsRestClassifier(estimator=SVC()), 'classifier__estimator__C': 1, 'classifier__estimator__kernel': 'linear', 'vectorizer': CountVectorizer()};0.3916876574307305;0.38878386893509764;0.3749212350346566;0.39004410838059234;0.3906742281033396;0.3872222195768834;0.006222098101764532;9
41.763089990615846;0.2596242883361935;8.888445711135864;0.07271760452496112;OneVsRestClassifier(estimator=SVC());;;TfidfVectorizer();1.0;rbf;;{'classifier': OneVsRestClassifier(estimator=SVC()), 'classifier__estimator__C': 1, 'classifier__estimator__kernel': 'rbf', 'vectorizer': TfidfVectorizer()};0.31738035264483627;0.3238815374921235;0.30245746691871456;0.33585381222432265;0.3182104599873976;0.31955672585347894;0.010800302848828713;19
30.75007572174072;0.19412505008058115;7.4971513748168945;0.1128250585421342;OneVsRestClassifier(estimator=SVC());;;CountVectorizer();1.0;rbf;;{'classifier': OneVsRestClassifier(estimator=SVC()), 'classifier__estimator__C': 1, 'classifier__estimator__kernel': 'rbf', 'vectorizer': CountVectorizer()};0.32934508816120905;0.32514177693761814;0.30497794580970383;0.33648393194706994;0.3207309388783869;0.3233359363467976;0.010545544864475526;17
22.933142328262328;0.494263108622903;4.142257118225098;0.03068626847208755;OneVsRestClassifier(estimator=SVC());;;TfidfVectorizer();10.0;linear;;{'classifier': OneVsRestClassifier(estimator=SVC()), 'classifier__estimator__C': 10, 'classifier__estimator__kernel': 'linear', 'vectorizer': TfidfVectorizer()};0.4093198992443325;0.40327662255828606;0.3812224322621298;0.3963453056080655;0.4001260239445495;0.39805805672347266;0.009430914930706035;7
19.978536653518677;0.46076165911130423;3.332019090652466;0.011375773640348587;OneVsRestClassifier(estimator=SVC());;;CountVectorizer();10.0;linear;;{'classifier': OneVsRestClassifier(estimator=SVC()), 'classifier__estimator__C': 10, 'classifier__estimator__kernel': 'linear', 'vectorizer': CountVectorizer()};0.3765743073047859;0.37303087586641465;0.36546943919344677;0.3837429111531191;0.387523629489603;0.37726823260147385;0.0078069568717013225;12
47.15818343162537;0.17544877674064263;9.47959632873535;0.14209996094897268;OneVsRestClassifier(estimator=SVC());;;TfidfVectorizer();10.0;rbf;;{'classifier': OneVsRestClassifier(estimator=SVC()), 'classifier__estimator__C': 10, 'classifier__estimator__kernel': 'rbf', 'vectorizer': TfidfVectorizer()};0.3891687657430731;0.38248267170762446;0.3705103969754253;0.40138626339004413;0.38437303087586644;0.38558422573840667;0.010008598952554857;10
37.71054034233093;0.664216736288003;7.406447076797486;0.14699751333585587;OneVsRestClassifier(estimator=SVC());;;CountVectorizer();10.0;rbf;;{'classifier': OneVsRestClassifier(estimator=SVC()), 'classifier__estimator__C': 10, 'classifier__estimator__kernel': 'rbf', 'vectorizer': CountVectorizer()};0.41120906801007556;0.4057971014492754;0.3950850661625709;0.4215500945179584;0.4102079395085066;0.4087698539296774;0.008572783427765783;3
0.13219199180603028;0.009618242433775527;0.028011417388916014;0.004751686697200364;OneVsRestClassifier(estimator=MultinomialNB());;;TfidfVectorizer();;;0.01;{'classifier': OneVsRestClassifier(estimator=MultinomialNB()), 'classifier__estimator__alpha': 0.01, 'vectorizer': TfidfVectorizer()};0.27267002518891686;0.3037177063642092;0.2753623188405797;0.2948960302457467;0.27095148078134845;0.28351951228416017;0.01326347462761654;24
