mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_classifier;param_classifier__max_depth;param_classifier__n_estimators;param_vectorizer;param_classifier__C;param_classifier__kernel;param_classifier__alpha;param_classifier__n_neighbors;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
20.935576915740967;1.1556111859619052;1.3404831886291504;0.07646120535120404;RandomForestClassifier();20;200.0;CountVectorizer();;;;;{'classifier': RandomForestClassifier(), 'classifier__max_depth': 20, 'classifier__n_estimators': 200, 'vectorizer': CountVectorizer()};0.84625;0.85575;0.854125;0.8495;0.85325;0.851775;0.003440930106817065;23
803.2022580146789;3.1845388408901574;70.32796173095703;0.22544815786918976;SVC();;;TfidfVectorizer();1.0;linear;;;{'classifier': SVC(), 'classifier__C': 1, 'classifier__kernel': 'linear', 'vectorizer': TfidfVectorizer()};0.891375;0.8995;0.89375;0.894625;0.894875;0.894825;0.002644097199423629;3
2603.2059614181517;123.24975766472902;44.36518859863281;1.0014667485474336;SVC();;;CountVectorizer();1.0;linear;;;{'classifier': SVC(), 'classifier__C': 1, 'classifier__kernel': 'linear', 'vectorizer': CountVectorizer()};0.859125;0.863;0.859625;0.862375;0.86075;0.860975;0.001507066687310149;16
1496.4152593135834;27.31281273941427;113.33308906555176;2.512577480128305;SVC();;;TfidfVectorizer();1.0;rbf;;;{'classifier': SVC(), 'classifier__C': 1, 'classifier__kernel': 'rbf', 'vectorizer': TfidfVectorizer()};0.89175;0.899875;0.89625;0.897125;0.898625;0.896725;0.002780962063746985;2
1057.6037256717682;8.797611428028794;104.12353177070618;1.408005412996701;SVC();;;CountVectorizer();1.0;rbf;;;{'classifier': SVC(), 'classifier__C': 1, 'classifier__kernel': 'rbf', 'vectorizer': CountVectorizer()};0.869375;0.88;0.870625;0.88275;0.877875;0.876125;0.005249404728157287;11
2277.197364473343;34.06683904160156;66.00390825271606;0.9290247922462409;SVC();;;TfidfVectorizer();10.0;linear;;;{'classifier': SVC(), 'classifier__C': 10, 'classifier__kernel': 'linear', 'vectorizer': TfidfVectorizer()};0.874375;0.88225;0.876125;0.876;0.87225;0.8762000000000001;0.003334104077559665;10
2459.234340953827;34.82850003511241;44.75497026443482;0.6314600052808392;SVC();;;CountVectorizer();10.0;linear;;;{'classifier': SVC(), 'classifier__C': 10, 'classifier__kernel': 'linear', 'vectorizer': CountVectorizer()};0.856875;0.858125;0.8565;0.85725;0.859125;0.8575750000000001;0.0009440603794249587;19
1635.8350620269775;15.111657372298938;121.42275629043579;1.1820024665597917;SVC();;;TfidfVectorizer();10.0;rbf;;;{'classifier': SVC(), 'classifier__C': 10, 'classifier__kernel': 'rbf', 'vectorizer': TfidfVectorizer()};0.893;0.90225;0.898125;0.9005;0.899625;0.8987;0.003147022402208149;1
1818.3322414398194;32.83170119080364;110.38150238990784;5.544015842209851;SVC();;;CountVectorizer();10.0;rbf;;;{'classifier': SVC(), 'classifier__C': 10, 'classifier__kernel': 'rbf', 'vectorizer': CountVectorizer()};0.8735;0.884625;0.873625;0.883625;0.885625;0.8802;0.005456418239101532;9
3.0304561138153074;0.0491067831845497;0.6505782127380371;0.013252988586312261;MultinomialNB();;;TfidfVectorizer();;;0.01;;{'classifier': MultinomialNB(), 'classifier__alpha': 0.01, 'vectorizer': TfidfVectorizer()};0.849625;0.844625;0.847375;0.84175;0.84475;0.8456250000000001;0.002677452147098049;31
2.9631468772888185;0.04646951378311903;0.6272016525268554;0.031935858641554564;MultinomialNB();;;CountVectorizer();;;0.01;;{'classifier': MultinomialNB(), 'classifier__alpha': 0.01, 'vectorizer': CountVectorizer()};0.849;0.84275;0.84525;0.843;0.84375;0.84475;0.0022967368155711637;33
3.0820767402648928;0.05146386141329463;0.6313807487487793;0.01141582946637607;MultinomialNB();;;TfidfVectorizer();;;1.0;;{'classifier': MultinomialNB(), 'classifier__alpha': 1.0, 'vectorizer': TfidfVectorizer()};0.86475;0.862875;0.8615;0.860625;0.86225;0.8623999999999998;0.0013950806428303752;14
3.0170329570770265;0.06863236965261053;0.6399127006530761;0.022173970672531934;MultinomialNB();;;CountVectorizer();;;1.0;;{'classifier': MultinomialNB(), 'classifier__alpha': 1.0, 'vectorizer': CountVectorizer()};0.86125;0.853625;0.858125;0.855875;0.853625;0.8564999999999999;0.0029025850547399995;20
3.7902687549591065;0.2449665492038038;0.6470541000366211;0.004618452138231628;LogisticRegression(max_iter=1000);;;TfidfVectorizer();1.0;;;;{'classifier': LogisticRegression(max_iter=1000), 'classifier__C': 1, 'vectorizer': TfidfVectorizer()};0.88675;0.893375;0.889125;0.89325;0.89225;0.8909499999999999;0.002601201645393895;6
6.713226556777954;0.25555917062861944;0.6376187324523925;0.021440443138194706;LogisticRegression(max_iter=1000);;;CountVectorizer();1.0;;;;{'classifier': LogisticRegression(max_iter=1000), 'classifier__C': 1, 'vectorizer': CountVectorizer()};0.878125;0.8855;0.882625;0.883875;0.883;0.882625;0.002458403953787874;8
4.236394929885864;0.4788168366387114;0.649930763244629;0.013987799403814748;LogisticRegression(max_iter=1000);;;TfidfVectorizer();10.0;;;;{'classifier': LogisticRegression(max_iter=1000), 'classifier__C': 10, 'vectorizer': TfidfVectorizer()};0.8895;0.897;0.89225;0.895875;0.89525;0.893975;0.0027345017827750794;4
