seed,train_loss,train_acc,train_prec,train_rec,train_f1,train_f1_per_class,train_ham,val_loss,val_acc,val_prec,val_rec,val_f1,val_f1_per_class,val_ham,test_loss,test_acc,test_prec,test_rec,test_f1,test_f1_per_class,test_ham,max_memory_usage_train,max_vram_usage_train,total_time_train,max_memory_usage_test,max_vram_usage_test,total_time_test
2,0.23633880343332708,0.9097725568607848,0.7765957759928339,0.4990986791978406,0.5349276868057542,[0.90347808 0.63696465 0.94233227 0.62683983 0.09142857 0.00852273],0.0902274431392152,0.26336357509717345,0.9099597585513078,0.7149365752719499,0.5116157276059061,0.532162589672052,[0.91205212 0.67659574 0.94132653 0.6185567  0.         0.04444444],0.09004024144869216,0.2619153631385416,0.8968884475339292,0.7478022788701217,0.5031651075485392,0.5191509418193863,[0.89102564 0.59557344 0.93358876 0.58503401 0.08695652 0.02272727],0.10311155246607084,1205.4375,231.64892578125,17.751628399943,1205.51171875,194.17626953125,0.7658898999216035
3,0.19581954424599726,0.925581104723819,0.8123935407853549,0.627567633746218,0.6782373773503876,[0.92902434 0.7042641  0.94106403 0.78543765 0.255      0.45463415],0.07441889527618095,0.23069885768927634,0.9282360831656606,0.8212915646000711,0.6002274220642253,0.6576383729337806,[0.93023256 0.73085339 0.94696486 0.73469388 0.08695652 0.51612903],0.07176391683433937,0.2199857661034912,0.9213836477987422,0.7880702421001476,0.6097900154711507,0.661626896911274,[0.91542289 0.68240343 0.93641618 0.74358974 0.125      0.56692913],0.07861635220125786,1205.6328125,232.11962890625,17.622877799905837,1204.05078125,195.025390625,0.810671400045976
5,0.26149521830428646,0.8972131967008248,0.7656222848685936,0.45588622841851717,0.49869956941156035,[0.89270895 0.56747618 0.93211529 0.41908714 0.11830986 0.0625    ],0.10278680329917521,0.27788947243243456,0.8990610328638498,0.8158437534754607,0.4911881483604181,0.5229678198085695,[0.9076175  0.59016393 0.92910448 0.55479452 0.09090909 0.06521739],0.10093896713615023,0.2737222579307854,0.8917576961271102,0.7886967695572347,0.4831472671700263,0.5066314828211583,[0.88817891 0.54545455 0.92982456 0.52027027 0.13333333 0.02272727],0.10824230387288977,1205.44921875,231.318359375,18.097757400013506,1204.0,194.361328125,0.7732379999943078
