seed,vectorizer,model,params,accuracy,hamming_loss,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_cs.AI,recall_class_cs.AI,f1_class_cs.AI,precision_class_cs.CL,recall_class_cs.CL,f1_class_cs.CL,precision_class_cs.LG,recall_class_cs.LG,f1_class_cs.LG,precision_class_math.OC,recall_class_math.OC,f1_class_math.OC,precision_class_stat.ML,recall_class_stat.ML,f1_class_stat.ML
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'gini'}",0.39731437598736175,0.17582938388625594,8.043998300003295,1.023780200004694,760.36328125,752.94140625,0.638095238095238,0.19940476190476192,0.30385487528344673,0.934375,0.7419354838709677,0.8271092669432918,0.7485955056179775,0.8162327718223583,0.780952380952381,0.8297872340425532,0.5441860465116279,0.6573033707865169,0.6903225806451613,0.335423197492163,0.45147679324894513
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'entropy'}",0.4020537124802528,0.17330173775671406,8.664699100001599,0.9895920999988448,759.37890625,752.8125,0.6347826086956522,0.21726190476190477,0.3237250554323725,0.9181818181818182,0.7518610421836228,0.8267394270122783,0.7732115677321156,0.777947932618683,0.7755725190839695,0.8357142857142857,0.5441860465116279,0.6591549295774648,0.7315436241610739,0.34169278996865204,0.4658119658119658
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'log_loss'}",0.4020537124802528,0.17330173775671406,8.462641300000541,0.9926725999976043,759.15234375,759.33984375,0.6347826086956522,0.21726190476190477,0.3237250554323725,0.9181818181818182,0.7518610421836228,0.8267394270122783,0.7732115677321156,0.777947932618683,0.7755725190839695,0.8357142857142857,0.5441860465116279,0.6591549295774648,0.7315436241610739,0.34169278996865204,0.4658119658119658
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'gini'}",0.40837282780410744,0.17266982622432858,15.037505100000999,1.0487372999996296,839.24609375,831.6328125,0.6631578947368421,0.1875,0.2923433874709977,0.9323076923076923,0.7518610421836228,0.8324175824175825,0.7592067988668555,0.8208269525267994,0.7888153053715967,0.8489208633093526,0.5488372093023256,0.6666666666666666,0.6835443037974683,0.3385579937304075,0.4528301886792453
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy'}",0.40363349131121645,0.17109004739336492,16.582599599998503,1.0448737999977311,838.86328125,831.26171875,0.6761904761904762,0.2113095238095238,0.3219954648526077,0.9237804878048781,0.7518610421836228,0.8290013679890561,0.7756024096385542,0.7886676875957122,0.7820804859529233,0.8656716417910447,0.5395348837209303,0.664756446991404,0.7285714285714285,0.31974921630094044,0.4444444444444444
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'log_loss'}",0.40363349131121645,0.17109004739336492,16.460802599998715,1.0468576999992365,837.8515625,831.328125,0.6761904761904762,0.2113095238095238,0.3219954648526077,0.9237804878048781,0.7518610421836228,0.8290013679890561,0.7756024096385542,0.7886676875957122,0.7820804859529233,0.8656716417910447,0.5395348837209303,0.664756446991404,0.7285714285714285,0.31974921630094044,0.4444444444444444
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'gini'}",0.4146919431279621,0.17140600315955767,22.40077509999537,1.1083480000015697,917.03515625,909.83203125,0.6804123711340206,0.19642857142857142,0.30484988452655887,0.9314641744548287,0.7419354838709677,0.8259668508287292,0.7601683029453016,0.8300153139356815,0.7935578330893118,0.8518518518518519,0.5348837209302325,0.6571428571428571,0.7032258064516129,0.34169278996865204,0.459915611814346
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'entropy'}",0.4075829383886256,0.17045813586097947,24.98580289999518,1.2281691999960458,916.43359375,909.9296875,0.6545454545454545,0.21428571428571427,0.32286995515695066,0.9161676646706587,0.7593052109181141,0.830393487109905,0.7799401197604791,0.7978560490045942,0.7887963663890991,0.8561151079136691,0.5534883720930233,0.672316384180791,0.7094594594594594,0.329153605015674,0.44967880085653106
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'log_loss'}",0.4075829383886256,0.17045813586097947,29.89202440000372,4.107356399996206,916.5546875,909.953125,0.6545454545454545,0.21428571428571427,0.32286995515695066,0.9161676646706587,0.7593052109181141,0.830393487109905,0.7799401197604791,0.7978560490045942,0.7887963663890991,0.8561151079136691,0.5534883720930233,0.672316384180791,0.7094594594594594,0.329153605015674,0.44967880085653106
2,TfidfVectorizer,SVC,"{'estimator__C': 0.1, 'estimator__kernel': 'linear'}",0.2796208530805687,0.19225908372827805,14.736490299997968,1.7073128999982146,1125.99609375,935.8671875,0.7,0.020833333333333332,0.04046242774566474,0.9616858237547893,0.6228287841191067,0.7560240963855421,0.8287671232876712,0.7411944869831547,0.7825383993532741,0.8850574712643678,0.3581395348837209,0.5099337748344371,0.9333333333333333,0.0438871473354232,0.08383233532934131
