seed,vectorizer,model,params,accuracy,hamming_loss,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_ENTREGA,recall_class_ENTREGA,f1_class_ENTREGA,precision_class_OUTROS,recall_class_OUTROS,f1_class_OUTROS,precision_class_PRODUTO,recall_class_PRODUTO,f1_class_PRODUTO,precision_class_CONDICOESDERECEBIMENTO,recall_class_CONDICOESDERECEBIMENTO,f1_class_CONDICOESDERECEBIMENTO,precision_class_ANUNCIO,recall_class_ANUNCIO,f1_class_ANUNCIO
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'gini'}",0.5136554621848739,0.17142857142857143,1.0919820000126492,2.002655299991602,391.85546875,392.42578125,0.956140350877193,0.36577181208053694,0.529126213592233,1.0,0.018518518518518517,0.03636363636363636,0.8199566160520607,0.9921259842519685,0.8978622327790974,1.0,0.0189873417721519,0.037267080745341616,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'entropy'}",0.49159663865546216,0.18361344537815127,1.100508700008504,1.9599832000094466,392.38671875,392.7578125,0.8947368421052632,0.17114093959731544,0.28732394366197184,1.0,0.004629629629629629,0.009216589861751152,0.8234649122807017,0.9855643044619422,0.8972520908004779,1.0,0.04430379746835443,0.08484848484848485,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'log_loss'}",0.49159663865546216,0.18361344537815127,1.0674194000021089,1.9470527000084985,392.5546875,392.9765625,0.8947368421052632,0.17114093959731544,0.28732394366197184,1.0,0.004629629629629629,0.009216589861751152,0.8234649122807017,0.9855643044619422,0.8972520908004779,1.0,0.04430379746835443,0.08484848484848485,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'gini'}",0.5304621848739496,0.16911764705882354,1.1457361000066157,1.4902954999997746,393.3671875,393.7734375,0.9411764705882353,0.42953020134228187,0.5898617511520737,1.0,0.009259259259259259,0.01834862385321101,0.819068255687974,0.9921259842519685,0.8973293768545995,1.0,0.006329113924050633,0.012578616352201259,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy'}",0.5136554621848739,0.1741596638655462,1.1546831000014208,1.972911099990597,393.81640625,393.86328125,0.9595959595959596,0.3187919463087248,0.47858942065491183,1.0,0.004629629629629629,0.009216589861751152,0.8228260869565217,0.9934383202099738,0.9001189060642093,1.0,0.012658227848101266,0.025,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'log_loss'}",0.5136554621848739,0.1741596638655462,1.1696066999866161,1.4891419000050519,393.53515625,393.7734375,0.9595959595959596,0.3187919463087248,0.47858942065491183,1.0,0.004629629629629629,0.009216589861751152,0.8228260869565217,0.9934383202099738,0.9001189060642093,1.0,0.012658227848101266,0.025,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'gini'}",0.5273109243697479,0.16827731092436976,1.2175952999969013,1.522031500004232,393.8984375,394.08203125,0.948905109489051,0.436241610738255,0.5977011494252874,1.0,0.009259259259259259,0.01834862385321101,0.8183783783783783,0.9934383202099738,0.8974510966212211,1.0,0.012658227848101266,0.025,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'entropy'}",0.5115546218487395,0.17331932773109243,1.2612039999803528,1.5491079000057653,394.23828125,394.46484375,0.9537037037037037,0.34563758389261745,0.5073891625615764,1.0,0.004629629629629629,0.009216589861751152,0.8197611292073833,0.9908136482939632,0.8972073677956031,1.0,0.02531645569620253,0.04938271604938271,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'log_loss'}",0.5115546218487395,0.17331932773109243,1.2451775999797974,1.5434934000077192,394.03125,394.453125,0.9537037037037037,0.34563758389261745,0.5073891625615764,1.0,0.004629629629629629,0.009216589861751152,0.8197611292073833,0.9908136482939632,0.8972073677956031,1.0,0.02531645569620253,0.04938271604938271,0.0,0.0,0.0
2,TfidfVectorizer,SVC,"{'estimator__C': 0.1, 'estimator__kernel': 'linear'}",0.46008403361344535,0.19852941176470587,1.913011099997675,1.5410145999921951,394.3671875,394.734375,0.0,0.0,0.0,0.0,0.0,0.0,0.8004201680672269,1.0,0.8891481913652275,0.0,0.0,0.0,0.0,0.0,0.0
2,TfidfVectorizer,SVC,"{'estimator__C': 0.1, 'estimator__kernel': 'rbf'}",0.46008403361344535,0.19852941176470587,1.9051119000068866,1.0426780999987386,394.81640625,394.9609375,0.0,0.0,0.0,0.0,0.0,0.0,0.8004201680672269,1.0,0.8891481913652275,0.0,0.0,0.0,0.0,0.0,0.0
2,TfidfVectorizer,SVC,"{'estimator__C': 0.1, 'estimator__kernel': 'sigmoid'}",0.46008403361344535,0.19852941176470587,1.8951402000093367,1.5099267000041436,394.6171875,394.8984375,0.0,0.0,0.0,0.0,0.0,0.0,0.8004201680672269,1.0,0.8891481913652275,0.0,0.0,0.0,0.0,0.0,0.0
2,TfidfVectorizer,SVC,"{'estimator__C': 1, 'estimator__kernel': 'linear'}",0.5199579831932774,0.15987394957983192,1.8786564999900293,1.559974899981171,394.60546875,395.0703125,0.9256756756756757,0.4597315436241611,0.6143497757847534,0.8387096774193549,0.12037037037037036,0.21052631578947367,0.8419243986254296,0.9645669291338582,0.8990825688073395,1.0,0.0759493670886076,0.1411764705882353,0.0,0.0,0.0
2,TfidfVectorizer,SVC,"{'estimator__C': 1, 'estimator__kernel': 'rbf'}",0.4737394957983193,0.1949579831932773,1.9107608000049368,1.032353399990825,394.953125,395.2890625,1.0,0.05704697986577181,0.10793650793650794,0.0,0.0,0.0,0.8004201680672269,1.0,0.8891481913652275,0.0,0.0,0.0,0.0,0.0,0.0
2,TfidfVectorizer,SVC,"{'estimator__C': 1, 'estimator__kernel': 'sigmoid'}",0.5168067226890757,0.16827731092436976,1.8999674000078812,1.038375600008294,395.25390625,395.48828125,0.9752066115702479,0.3959731543624161,0.5632458233890215,0.6923076923076923,0.041666666666666664,0.07860262008733625,0.8248898678414097,0.9829396325459318,0.8970059880239521,1.0,0.0379746835443038,0.07317073170731707,0.0,0.0,0.0
2,TfidfVectorizer,SVC,"{'estimator__C': 10, 'estimator__kernel': 'linear'}",0.48214285714285715,0.15714285714285714,1.8977083999780007,1.0427138000086416,395.18359375,395.4296875,0.8366336633663366,0.5671140939597316,0.676,0.543859649122807,0.4305555555555556,0.4806201550387597,0.8732747804265998,0.9133858267716536,0.8928800513149455,0.6527777777777778,0.2974683544303797,0.40869565217391307,1.0,0.012048192771084338,0.023809523809523808
2,TfidfVectorizer,SVC,"{'estimator__C': 10, 'estimator__kernel': 'rbf'}",0.5052521008403361,0.1741596638655462,1.9363004000042565,1.046965099987574,395.1484375,395.45703125,0.967032967032967,0.2953020134228188,0.4524421593830334,0.7619047619047619,0.07407407407407407,0.1350210970464135,0.819068255687974,0.9921259842519685,0.8973293768545995,1.0,0.0189873417721519,0.037267080745341616,0.0,0.0,0.0
2,TfidfVectorizer,SVC,"{'estimator__C': 10, 'estimator__kernel': 'sigmoid'}",0.4327731092436975,0.17436974789915966,1.8755763999943156,1.5214241000066977,395.0625,395.4140625,0.78,0.6543624161073825,0.7116788321167883,0.4553191489361702,0.49537037037037035,0.4745011086474501,0.8806366047745358,0.8713910761154856,0.8759894459102903,0.4744525547445255,0.41139240506329117,0.4406779661016949,0.5714285714285714,0.04819277108433735,0.08888888888888889
2,TfidfVectorizer,MultinomialNB,{'estimator__alpha': 0.01},0.43067226890756305,0.18025210084033613,1.8792652999982238,1.8879215999913868,395.27734375,395.7109375,0.7342995169082126,0.5100671140939598,0.601980198019802,0.5061224489795918,0.5740740740740741,0.5379609544468547,0.8791500664010624,0.868766404199475,0.8739273927392739,0.4523809523809524,0.36075949367088606,0.4014084507042254,0.5,0.024096385542168676,0.04597701149425287
2,TfidfVectorizer,MultinomialNB,{'estimator__alpha': 0.1},0.4947478991596639,0.1588235294117647,1.8655089999956544,1.8797808000235818,395.28125,395.6796875,0.7752293577981652,0.5671140939597316,0.6550387596899225,0.6089743589743589,0.4398148148148148,0.510752688172043,0.8836317135549873,0.9068241469816273,0.8950777202072538,0.5769230769230769,0.189873417721519,0.2857142857142857,0.0,0.0,0.0
2,TfidfVectorizer,MultinomialNB,{'estimator__alpha': 1.0},0.4842436974789916,0.1888655462184874,1.8895773999975063,1.8989647000271361,395.0625,395.46484375,1.0,0.15100671140939598,0.26239067055393583,0.0,0.0,0.0,0.8012618296529969,1.0,0.8896672504378283,0.0,0.0,0.0,0.0,0.0,0.0
2,TfidfVectorizer,LogisticRegression,"{'estimator__C': 0.1, 'estimator__penalty': 'l2'}",0.46008403361344535,0.19852941176470587,1.9714525000017602,1.8819383999798447,395.58984375,395.8515625,0.0,0.0,0.0,0.0,0.0,0.0,0.8004201680672269,1.0,0.8891481913652275,0.0,0.0,0.0,0.0,0.0,0.0
2,TfidfVectorizer,LogisticRegression,"{'estimator__C': 1, 'estimator__penalty': 'l2'}",0.46743697478991597,0.19663865546218487,1.8944412000128068,1.9118292999919504,395.59765625,395.93359375,1.0,0.030201342281879196,0.05863192182410423,0.0,0.0,0.0,0.8004201680672269,1.0,0.8891481913652275,0.0,0.0,0.0,0.0,0.0,0.0
2,TfidfVectorizer,LogisticRegression,"{'estimator__C': 10, 'estimator__penalty': 'l2'}",0.5136554621848739,0.16302521008403362,1.9240819000115152,1.8863252000010107,395.61328125,395.87109375,0.9603174603174603,0.40604026845637586,0.5707547169811321,0.7321428571428571,0.18981481481481483,0.3014705882352941,0.8297872340425532,0.9724409448818898,0.8954682779456193,1.0,0.06329113924050633,0.11904761904761904,0.0,0.0,0.0
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'ball_tree'}",0.40336134453781514,0.1934873949579832,1.861224599997513,1.9077766999835148,395.48046875,398.16015625,0.5798816568047337,0.6577181208053692,0.6163522012578616,0.43,0.39814814814814814,0.41346153846153844,0.8780160857908847,0.8595800524934383,0.8687002652519894,0.5411764705882353,0.2911392405063291,0.3786008230452675,0.4444444444444444,0.04819277108433735,0.08695652173913043
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'kd_tree'}",0.40336134453781514,0.1934873949579832,1.8592346999794245,1.9126009999890812,395.5703125,398.09765625,0.5798816568047337,0.6577181208053692,0.6163522012578616,0.43,0.39814814814814814,0.41346153846153844,0.8780160857908847,0.8595800524934383,0.8687002652519894,0.5411764705882353,0.2911392405063291,0.3786008230452675,0.4444444444444444,0.04819277108433735,0.08695652173913043
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'brute'}",0.40336134453781514,0.1934873949579832,1.854934900009539,1.914117600012105,395.83984375,398.41015625,0.5798816568047337,0.6577181208053692,0.6163522012578616,0.43,0.39814814814814814,0.41346153846153844,0.8780160857908847,0.8595800524934383,0.8687002652519894,0.5411764705882353,0.2911392405063291,0.3786008230452675,0.4444444444444444,0.04819277108433735,0.08695652173913043
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'ball_tree'}",0.4422268907563025,0.175,1.8355922999908216,1.89814090001164,395.83984375,398.3828125,0.6067073170731707,0.6677852348993288,0.6357827476038339,0.5222929936305732,0.37962962962962965,0.43967828418230565,0.8693467336683417,0.9081364829396326,0.8883183568677792,0.6666666666666666,0.24050632911392406,0.35348837209302325,0.0,0.0,0.0
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'kd_tree'}",0.4422268907563025,0.175,1.8530011999828275,1.8809016000013798,395.7890625,398.38671875,0.6067073170731707,0.6677852348993288,0.6357827476038339,0.5222929936305732,0.37962962962962965,0.43967828418230565,0.8693467336683417,0.9081364829396326,0.8883183568677792,0.6666666666666666,0.24050632911392406,0.35348837209302325,0.0,0.0,0.0
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'brute'}",0.4422268907563025,0.175,1.8577512000047136,1.958219000021927,395.79296875,398.515625,0.6067073170731707,0.6677852348993288,0.6357827476038339,0.5222929936305732,0.37962962962962965,0.43967828418230565,0.8693467336683417,0.9081364829396326,0.8883183568677792,0.6666666666666666,0.24050632911392406,0.35348837209302325,0.0,0.0,0.0
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'ball_tree'}",0.48214285714285715,0.16302521008403362,1.8714029999973718,1.9451942000014242,395.83203125,398.38671875,0.6633333333333333,0.6677852348993288,0.6655518394648829,0.5725806451612904,0.3287037037037037,0.4176470588235294,0.8670731707317073,0.9330708661417323,0.8988621997471555,0.7674418604651163,0.2088607594936709,0.3283582089552239,0.0,0.0,0.0
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'kd_tree'}",0.48214285714285715,0.16302521008403362,1.880078299989691,1.9423721999919508,396.0859375,398.4609375,0.6633333333333333,0.6677852348993288,0.6655518394648829,0.5725806451612904,0.3287037037037037,0.4176470588235294,0.8670731707317073,0.9330708661417323,0.8988621997471555,0.7674418604651163,0.2088607594936709,0.3283582089552239,0.0,0.0,0.0
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'brute'}",0.48214285714285715,0.16302521008403362,1.880904499994358,1.9143079999776091,396.0625,398.3203125,0.6633333333333333,0.6677852348993288,0.6655518394648829,0.5725806451612904,0.3287037037037037,0.4176470588235294,0.8670731707317073,0.9330708661417323,0.8988621997471555,0.7674418604651163,0.2088607594936709,0.3283582089552239,0.0,0.0,0.0
2,TfidfVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': 'sqrt'}",0.45588235294117646,0.21680672268907564,1.8776611000066623,1.8742824000073597,396.03125,396.44921875,0.7058823529411765,0.5637583892617449,0.6268656716417911,0.3815789473684211,0.26851851851851855,0.31521739130434784,0.8324022346368715,0.7821522309711286,0.8064952638700947,0.4675324675324675,0.45569620253164556,0.46153846153846156,0.0784313725490196,0.04819277108433735,0.05970149253731343
2,TfidfVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': 'log2'}",0.36764705882352944,0.24369747899159663,1.8520488000067417,1.8785701000015251,396.19921875,396.44921875,0.6410256410256411,0.587248322147651,0.6129597197898424,0.3181818181818182,0.25925925925925924,0.2857142857142857,0.8190224570673712,0.8136482939632546,0.8163265306122449,0.19254658385093168,0.1962025316455696,0.19435736677115986,0.20588235294117646,0.1686746987951807,0.18543046357615894
2,TfidfVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': None}",0.5157563025210085,0.17436974789915966,1.862369900016347,1.8691470999910962,396.05078125,396.60546875,0.8159722222222222,0.7885906040268457,0.8020477815699659,0.436241610738255,0.30092592592592593,0.3561643835616438,0.8755186721991701,0.8307086614173228,0.8525252525252526,0.5217391304347826,0.379746835443038,0.43956043956043955,0.1,0.03614457831325301,0.05309734513274336
2,TfidfVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': 'sqrt'}",0.4894957983193277,0.18487394957983194,1.8505470000091009,1.886525600013556,396.2578125,396.6328125,0.6615384615384615,0.7214765100671141,0.6902086677367576,0.5612244897959183,0.25462962962962965,0.3503184713375796,0.8379746835443038,0.868766404199475,0.8530927835051546,0.49044585987261147,0.4873417721518987,0.4888888888888889,0.07692307692307693,0.012048192771084338,0.020833333333333332
2,TfidfVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': 'log2'}",0.19642857142857142,0.3025210084033613,1.859232000017073,1.8852180000103544,396.34765625,396.6484375,0.39109697933227344,0.825503355704698,0.5307443365695793,0.28888888888888886,0.24074074074074073,0.26262626262626265,0.8208955223880597,0.6496062992125984,0.7252747252747253,0.2689655172413793,0.2468354430379747,0.25742574257425743,0.2413793103448276,0.1686746987951807,0.19858156028368795
