seed,vectorizer,model,params,accuracy,hamming_loss,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_bug,recall_class_bug,f1_class_bug,precision_class_docs,recall_class_docs,f1_class_docs,precision_class_feature,recall_class_feature,f1_class_feature,precision_class_question,recall_class_question,f1_class_question,precision_class_won't fix,recall_class_won't fix,f1_class_won't fix
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'gini'}",0.48128342245989303,0.17005347593582887,1.3487792999949306,1.9985945000080392,369.73828125,369.296875,0.5714285714285714,0.12903225806451613,0.21052631578947367,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.70625,0.9338842975206612,0.8042704626334519,0.3333333333333333,0.04878048780487805,0.0851063829787234
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'entropy'}",0.4385026737967914,0.18181818181818182,1.2528648999868892,1.8892155000357889,370.1875,369.734375,0.4444444444444444,0.12903225806451613,0.2,1.0,0.18518518518518517,0.3125,0.0,0.0,0.0,0.6918238993710691,0.9090909090909091,0.7857142857142857,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'log_loss'}",0.4385026737967914,0.18181818181818182,1.2059348999755457,1.888440599956084,370.25,369.828125,0.4444444444444444,0.12903225806451613,0.2,1.0,0.18518518518518517,0.3125,0.0,0.0,0.0,0.6918238993710691,0.9090909090909091,0.7857142857142857,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'gini'}",0.48128342245989303,0.1711229946524064,1.366499700001441,1.8913718999829143,372.86328125,372.36328125,0.5,0.12903225806451613,0.20512820512820512,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.710691823899371,0.9338842975206612,0.8071428571428572,0.16666666666666666,0.024390243902439025,0.0425531914893617
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy'}",0.45454545454545453,0.1754010695187166,0.7185840000165626,1.856046300032176,373.0859375,372.83984375,0.5,0.12903225806451613,0.20512820512820512,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.7070063694267515,0.9173553719008265,0.7985611510791367,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'log_loss'}",0.45454545454545453,0.1754010695187166,0.7157415999681689,1.8235077999997884,372.921875,372.5859375,0.5,0.12903225806451613,0.20512820512820512,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.7070063694267515,0.9173553719008265,0.7985611510791367,0.0,0.0,0.0
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'gini'}",0.48663101604278075,0.16898395721925133,0.7574724999722093,1.8461234999704175,375.05859375,375.0625,0.5714285714285714,0.12903225806451613,0.21052631578947367,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.710691823899371,0.9338842975206612,0.8071428571428572,0.2,0.024390243902439025,0.043478260869565216
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'entropy'}",0.44919786096256686,0.17326203208556148,0.8059014999889769,1.8513771999860182,375.390625,375.4453125,0.5,0.12903225806451613,0.20512820512820512,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.7088607594936709,0.9256198347107438,0.8028673835125448,0.14285714285714285,0.024390243902439025,0.041666666666666664
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'log_loss'}",0.44919786096256686,0.17326203208556148,0.8066512999939732,1.842130900011398,376.0,375.24609375,0.5,0.12903225806451613,0.20512820512820512,1.0,0.25925925925925924,0.4117647058823529,0.0,0.0,0.0,0.7088607594936709,0.9256198347107438,0.8028673835125448,0.14285714285714285,0.024390243902439025,0.041666666666666664
2,TfidfVectorizer,SVC,"{'estimator__C': 0.1, 'estimator__kernel': 'linear'}",0.46524064171123,0.18716577540106952,1.444668999989517,1.8293230999843217,376.51171875,375.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,1.0,0.7857142857142857,0.0,0.0,0.0
