seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_democratic,recall_class_democratic,f1_class_democratic,precision_class_republican,recall_class_republican,f1_class_republican
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'gini'}",0.943,49.92307339981198,1.2106924999970943,608.8984375,603.57421875,0.9511201629327902,0.934,0.9424823410696267,0.9351669941060904,0.952,0.9435084241823588
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'entropy'}",0.94275,45.51909630000591,1.1890758001245558,610.55859375,581.609375,0.953405017921147,0.931,0.9420693144447255,0.9325842696629213,0.9545,0.9434148752162096
2,TfidfVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'log_loss'}",0.94275,45.98057230003178,1.2111456000711769,605.8359375,581.3984375,0.953405017921147,0.931,0.9420693144447255,0.9325842696629213,0.9545,0.9434148752162096
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'gini'}",0.94225,99.16859339992516,0.7300742999650538,745.375,745.67578125,0.9542886492039034,0.929,0.9414745376235115,0.930832927423283,0.9555,0.9430051813471503
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy'}",0.9465,90.63544959994033,0.7221633000299335,751.75,721.4296875,0.9612603305785123,0.9305,0.945630081300813,0.9326550387596899,0.9625,0.9473425196850394
2,TfidfVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'log_loss'}",0.9465,90.37062820000574,0.7236306997947395,727.59765625,720.96484375,0.9612603305785123,0.9305,0.945630081300813,0.9326550387596899,0.9625,0.9473425196850394
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'gini'}",0.9445,147.440634700004,0.847219199873507,867.51953125,866.7421875,0.9582474226804124,0.9295,0.9436548223350254,0.9315533980582524,0.9595,0.945320197044335
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'entropy'}",0.9475,134.5286908999551,0.835963899968192,879.60546875,838.4609375,0.959917780061665,0.934,0.9467815509376584,0.9357351509250244,0.961,0.9481993093241243
2,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'log_loss'}",0.9475,134.6951900999993,0.8373106999788433,847.48046875,838.6640625,0.959917780061665,0.934,0.9467815509376584,0.9357351509250244,0.961,0.9481993093241243
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'linear'}",0.95825,138.77348440000787,4.9929561000317335,1096.953125,862.6640625,0.9640506329113924,0.952,0.9579874213836478,0.9525925925925925,0.9645,0.9585093167701864
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'rbf'}",0.9515,207.89015179988928,9.283742100000381,1099.265625,865.85546875,0.9569838056680162,0.9455,0.9512072434607646,0.9461462450592886,0.9575,0.9517892644135189
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'sigmoid'}",0.95775,148.57801129994914,5.21442209999077,1084.453125,854.78515625,0.9630753667172484,0.952,0.9575056575308021,0.9525457241720218,0.9635,0.9579915485955754
2,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'linear'}",0.95875,149.51864919997752,2.5415994999930263,1163.328125,848.22265625,0.9712378017462763,0.9455,0.9581960983025082,0.9469069654164637,0.972,0.9592894152479645
2,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'rbf'}",0.9605,325.63891500001773,5.908889900194481,1130.62109375,859.56640625,0.9708588957055214,0.9495,0.9600606673407482,0.950587084148728,0.9715,0.9609297725024728
2,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'sigmoid'}",0.9575,235.0243905999232,2.4640923000406474,1117.76953125,852.8828125,0.9716494845360825,0.9425,0.9568527918781726,0.9441747572815534,0.9725,0.958128078817734
2,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'linear'}",0.95575,163.4994049000088,1.7485109998378903,1212.546875,852.1015625,0.9754825247782994,0.935,0.9548123563952005,0.9375900144023044,0.9765,0.9566495224099927
2,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'rbf'}",0.96025,453.6938779000193,5.955162599915639,1109.58984375,857.671875,0.9737519300051467,0.946,0.9596753740806493,0.9474963539134662,0.9745,0.9608084791718018
2,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'sigmoid'}",0.94925,545.4875482001808,1.3459171000868082,1132.44921875,851.32421875,0.9648215209518882,0.9325,0.9483854563946097,0.9346879535558781,0.966,0.9500860585197934
2,TfidfVectorizer,MultinomialNB,{'alpha': 0.01},0.897,0.9740162999369204,1.4381734000053257,849.6015625,823.1796875,0.8985943775100401,0.895,0.8967935871743486,0.8954183266932271,0.899,0.8972055888223552
2,TfidfVectorizer,MultinomialNB,{'alpha': 0.1},0.931,0.9642540998756886,1.4136034999974072,848.06640625,821.84765625,0.9461697722567288,0.914,0.9298067141403866,0.9168278529980658,0.948,0.9321533923303835
2,TfidfVectorizer,MultinomialNB,{'alpha': 1.0},0.948,0.9719187999144197,1.4330396999139339,846.53515625,821.93359375,0.9735729386892178,0.921,0.94655704008222,0.9250474383301708,0.975,0.9493670886075949
2,TfidfVectorizer,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.95025,1.0052536998409778,1.4347532999236137,852.51953125,821.66796875,0.9550277918140475,0.945,0.9499874340286504,0.9455714992577932,0.9555,0.9505098234270082
2,TfidfVectorizer,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.95725,1.0122295999899507,0.9756448999978602,852.4140625,820.23828125,0.962569549822964,0.9515,0.9570027659039477,0.9520514087988137,0.963,0.9574944071588367
2,TfidfVectorizer,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.9605,1.0125891000498086,1.4315779998432845,851.1953125,820.27734375,0.9698979591836735,0.9505,0.9601010101010101,0.9514705882352941,0.9705,0.9608910891089109
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'ball_tree'}",0.6505,0.9089448000304401,4.315642199944705,844.06640625,2838.9921875,0.7751371115173674,0.424,0.5481577246283129,0.6035788024776325,0.877,0.7150428047289034
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'kd_tree'}",0.6505,0.9099747000727803,4.255059200106189,849.49609375,2873.9375,0.7751371115173674,0.424,0.5481577246283129,0.6035788024776325,0.877,0.7150428047289034
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'brute'}",0.6505,0.8971071001142263,4.175599900074303,849.6328125,2826.46484375,0.7751371115173674,0.424,0.5481577246283129,0.6035788024776325,0.877,0.7150428047289034
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'ball_tree'}",0.644,0.9203391000628471,4.222681900020689,849.0625,2853.2734375,0.8083511777301927,0.3775,0.5146557600545331,0.5939334637964775,0.9105,0.7189103829451243
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'kd_tree'}",0.644,0.9040145999751985,4.218367699999362,849.55078125,2827.2265625,0.8083511777301927,0.3775,0.5146557600545331,0.5939334637964775,0.9105,0.7189103829451243
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'brute'}",0.644,0.9121042001061141,4.220332799945027,848.9921875,2818.63671875,0.8083511777301927,0.3775,0.5146557600545331,0.5939334637964775,0.9105,0.7189103829451243
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'ball_tree'}",0.64375,0.9042649001348764,4.294248499907553,849.55078125,2833.1484375,0.8484848484848485,0.35,0.49557522123893805,0.5905511811023622,0.9375,0.7246376811594203
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'kd_tree'}",0.64375,0.9092053999193013,4.2293495000340044,848.96875,2872.9765625,0.8484848484848485,0.35,0.49557522123893805,0.5905511811023622,0.9375,0.7246376811594203
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'brute'}",0.64375,0.9188492998946458,4.177832100074738,849.53515625,2831.19921875,0.8484848484848485,0.35,0.49557522123893805,0.5905511811023622,0.9375,0.7246376811594203
2,TfidfVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': 'sqrt'}",0.856,2.295655199792236,0.9692085001152009,853.421875,850.02734375,0.8662551440329218,0.842,0.8539553752535497,0.8463035019455253,0.87,0.8579881656804734
2,TfidfVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': 'log2'}",0.78025,3.233276999788359,0.9965488999150693,858.4453125,855.60546875,0.7792725460886896,0.782,0.7806338906912902,0.7812343201204215,0.7785,0.7798647633358378
2,TfidfVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': None}",0.9245,18.449964700033888,1.4403706998564303,860.0546875,828.9609375,0.9331632653061225,0.9145,0.9237373737373737,0.9161764705882353,0.9345,0.9252475247524753
2,TfidfVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': 'sqrt'}",0.88325,2.2262478000484407,1.427859499817714,856.40625,850.28125,0.896124031007752,0.867,0.8813214739517153,0.8711864406779661,0.8995,0.8851168511685117
2,TfidfVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': 'log2'}",0.7865,3.0081935001071543,1.44754260010086,859.328125,834.703125,0.7938461538461539,0.774,0.7837974683544304,0.7795121951219512,0.799,0.7891358024691358
2,TfidfVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': None}",0.90575,15.455011799931526,1.444560500094667,860.9375,828.7578125,0.921996879875195,0.8865,0.9039000764720877,0.8907077515647569,0.925,0.9075300466028943
2,TfidfVectorizer,DecisionTree,"{'criterion': 'log_loss', 'max_features': 'sqrt'}",0.88325,2.237688000081107,1.4327521999366581,856.48046875,831.83984375,0.896124031007752,0.867,0.8813214739517153,0.8711864406779661,0.8995,0.8851168511685117
2,TfidfVectorizer,DecisionTree,"{'criterion': 'log_loss', 'max_features': 'log2'}",0.7865,2.9864928000606596,0.9821194000542164,859.3046875,855.703125,0.7938461538461539,0.774,0.7837974683544304,0.7795121951219512,0.799,0.7891358024691358
2,TfidfVectorizer,DecisionTree,"{'criterion': 'log_loss', 'max_features': None}",0.90575,15.638641400029883,1.4345607000868767,860.35546875,828.92578125,0.921996879875195,0.8865,0.9039000764720877,0.8907077515647569,0.925,0.9075300466028943
2,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'criterion': 'friedman_mse'}",0.79975,18.83092759991996,1.4521908999886364,859.61328125,830.203125,0.9694596711041503,0.619,0.7555691180958194,0.7201615864854939,0.9805,0.8304044039805208
2,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'criterion': 'squared_error'}",0.79975,18.876502400031313,1.4489058000035584,856.27734375,830.11328125,0.9694596711041503,0.619,0.7555691180958194,0.7201615864854939,0.9805,0.8304044039805208
2,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'criterion': 'friedman_mse'}",0.82725,27.794089999981225,0.984110799850896,860.28515625,853.93359375,0.9529411764705882,0.6885,0.7994194484760523,0.7561643835616438,0.966,0.848298572996707
2,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'criterion': 'squared_error'}",0.82725,27.769915600074455,0.9781488999724388,856.1875,855.09375,0.9529411764705882,0.6885,0.7994194484760523,0.7561643835616438,0.966,0.848298572996707
