model,accuracy_std,precision_std,recall_std,f1_score_std,mean_ram_usage_std,mean_vram_usage_std,mean_response_time_std
BERT,0.020816659994661344,0.013623489344199258,0.023871874582313584,0.01564714164113749,2.061502234589171,1.188048119115271,3.3128113011856125e-05
LSTM,0.004582575694955844,0.060223932826120014,0.04392967795390115,0.06458704511753705,8.749949718512523,0.3730264228686798,0.00027470841192463375
DecisionTree,0.006174869189193851,0.010877899738503767,0.006203441747605154,0.006572504243516502,0.4752158226795484,0.0,0.000429892909198608
