model,accuracy_std,precision_std,recall_std,f1_score_std,mean_ram_usage_std,mean_vram_usage_std,mean_response_time_std
BERT,0.004072263907623511,0.026480318092180287,0.021965488441469706,0.005800446382830386,38.88574116153588,2.375,0.0011258875662736665
LSTM,0.00436844747402708,0.014123398445636206,0.01660626936992015,0.009640301239849056,8.698510088445554,0.2717605759271481,3.0665866743434246e-05
SGD,0.002753785273643067,0.003856332004565928,0.0034911869649252446,0.0032668783039533824,4.8048653422371,0.0,0.0001245935825355913
