model,accuracy,precision,recall,f1_score,mean_ram_usage,mean_vram_usage,mean_response_time
DeepSeek 1.5b,0.6358381502890174,0.631264876462503,0.6348823590202901,0.6309052118256628,80.38606958995665,2187.226878612717,5.403931376217417
Gemma 4b,0.5325670498084292,0.7000942684766214,0.6084493705379039,0.5029933681114379,116.55165928320562,5383.632183908046,2.35999038118969
Llama 3b,0.46596858638743455,0.7154811715481172,0.5516483516483517,0.394795088651243,73.28142383835079,4247.475130890052,2.2607342045344607
gpt-4o-mini,0.7410714285714286,0.7946428571428571,0.7826590892096015,0.7406659659928791,0.0,0.0,0.6500103282076972
gemini-2.0-flash,0.7755102040816326,0.8165535172613029,0.8128522191933543,0.7754736753037965,0.0,0.0,1.017031350001997
BERT,0.6900510204081632,0.6816724996649347,0.6820085246391985,0.6783895539905597,1244.6510416666667,1766.2037760416667,0.009206098596873094
LSTM,0.6356292517006802,0.6251909583492273,0.6277290968459742,0.6246119060033821,1308.4895833333333,194.72135416666666,0.0017146142856946506
SVC,0.631413612565445,0.6306818181818181,0.6287750940477446,0.6286082975376076,403.4309895833333,0.0,0.0014521575680296927
