model,accuracy,precision,recall,f1_score,mean_ram_usage,mean_vram_usage,mean_response_time
DeepSeek 1.5b,0.5480216713183386,0.5423823375730995,0.5806124855834272,0.5474301218309627,79.56509668465769,2157.70300443277,4.72710545889714
Gemma 4b,0.5332953435363074,0.6359634843639178,0.6272506375510732,0.5153877517048785,102.15912817231765,5070.846466948877,2.3517418704837203
Llama 3b,0.4497991967871486,0.6155604444412215,0.5741489311107241,0.44180078509767196,88.88866153534593,3869.0970244614823,2.255793704869931
gpt-4o-mini,0.7228690059431735,0.7215511833197196,0.7311917870642328,0.7225219939524531,0.0,0.0,0.6001251794553721
gemini-2.0-flash,0.6755964498005048,0.678412846537119,0.7121610705986486,0.6772843523120832,0.0,0.0,0.9522344459589293
BERT,0.6915771192879627,0.6881331821028968,0.7034410726775772,0.6897571250251734,1149.88671875,1710.5709635416667,0.010365064569087154
LSTM,0.5870509063280148,0.5785544419370963,0.5707476035102319,0.5697619759223461,1238.4674479166667,195.03369140625,0.00033429423368849413
SVC,0.652,0.645530529982596,0.5841609164393975,0.5962818103277301,935.8255208333334,0.0,0.0004400331868008327
