model,accuracy_std,precision_std,recall_std,f1_score_std,mean_ram_usage_std,mean_vram_usage_std,mean_response_time_std
BERT,0.009782858569777298,0.009187012074309496,0.009784228194532571,0.009925754388653667,92.78987274925313,6.275365195216397,0.001105119312007443
LSTM,0.0038572653341335658,0.004416442443998538,0.0038563287291980843,0.0037833312374551975,9.647792499105392,0.3833966631337359,3.000259360817157e-06
RandomForest,0.0037859388972001857,0.004151376439630118,0.002651176489700942,0.0031259399190436063,2.1787667466098366,0.0,7.798320136532772e-06
